rank,hex_id,name,final_affluence_score,affluence_tier,spatial_relation,confidence_score,countable_family_tam,direct_family_tam,direct_total_units,direct_luxury_society_tam,conservative_50l_plus_family_tam,conservative_50l_plus_share_of_direct_tam,estimated_40l_plus_family_tam_linear_25_50_split,estimated_40l_plus_share_linear_25_50_split,nearby_family_tam_weighted_context,society_cluster_tam_weighted_context_not_counted,market_price_per_sqft,refined_budget_segment,premium_candidate_score,rental_yield_pct,yearly_appreciation_pct,society_score,society_cluster_score,hospital_score,market_score,sez_workplace_score,habitability_score,habitability_class,habitable_for_residential_tam,societies_direct_count,societies_nearby_count,society_cluster_project_count,hospitals_nearby_count,top_societies,top_hospitals,quality_flags
1,87618921dffffff,Hagaduru,84.0568,Very High Affluence,local_signal,1.0,0.0,16592.0,16592.0,16592.0,0.0,0.0,0.0,0.0,17919.15,21738.47,11886.256119673619,Ultra Premium,0.6753790463627243,3.0,17.6,0.851491,1.0,0.729698,0.962819,0.841902,0.781218,dense_habitable,True,120,200,249,51,"Divyasree Republic of Whitefield (Ultra Luxury, TAM 1,306) | Folium By Sumadhura Phase III (Ultra Luxury, TAM 1,280) | Sumadhura Folium (Ultra Luxury, TAM 1,280) | Folium By Sumadhura Phase I (Ultra Luxury, TAM 480) | Brigade Cosmopolis (Elite Luxury, TAM 705)","Aster Women & Children Hospital (Ultra Premium, 7.7 min) | Aster Whitefield Hospital (Ultra Premium, 7.7 min) | RxDx Healthcare (Ultra Premium, 8.8 min) | Kauvery Hospital (Ultra Premium, 10.0 min) | Cloudnine Hospital (Super Premium, 4.6 min)",
2,8761892c8ffffff,Kempapura-Byatarayanapura,82.6674,Very High Affluence,local_signal,1.0,0.0,5693.0,5693.0,5693.0,0.0,0.0,0.0,0.0,5979.82,7325.78,10088.12420262664,Premium,0.5547177889524202,3.161290322580645,14.245454545454544,0.846411,0.965887,0.797466,0.870667,0.883828,0.907807,dense_habitable,True,41,73,124,109,"Godrej Woodsman Estate (Ultra Luxury, TAM 924) | Prestige Misty Waters (Ultra Luxury, TAM 558) | DRA Misty Waters (Elite Luxury, TAM 558) | Embassy Lake Terraces (Elite Luxury, TAM 467) | The Formist Mandala (Ultra Luxury, TAM 245)","Aster CMI Hospital (Ultra Premium, 6.1 min) | Mind and Brain hospital (Ultra Premium, 7.2 min) | Trilife Hospital (Ultra Premium, 11.9 min) | Cloudnine Hospital - HRBR (Ultra Premium, 13.0 min) | People Tree Hospitals (Ultra Premium, 15.7 min)",
3,87618920affffff,Kundalahalli-AECS Layout E Block,78.729,High Affluence,local_signal,1.0,0.0,6798.0,6798.0,6798.0,0.0,0.0,0.0,0.0,7783.26,11826.41,8497.370431893687,Premium Candidate,0.13755772820467732,2.3303571428571432,14.629867256637167,0.848378,0.998825,0.810647,0.652067,0.835812,0.747427,habitable,True,30,86,187,74,"Sumadhura Edition (Ultra Luxury, TAM 1,650) | Divyasree Republic Of Whitefield (Ultra Luxury, TAM 1,300) | Sumadhura Solace (Elite Luxury, TAM 777) | Citilights Knightsbridge (Ultra Luxury, TAM 308) | Sumadura LNR Lake Breeze (Ultra Luxury, TAM 192)","Kauvery Hospital (Ultra Premium, 4.1 min) | RxDx Healthcare (Ultra Premium, 6.7 min) | Brookefield Hospital (Ultra Premium, 2.0 min) | Kinder Women's Hospital and Fertility Centre (Ultra Premium, 7.3 min) | Aster Women & Children Hospital (Ultra Premium, 10.9 min)",
4,8761892ceffffff,Thanisandra-Jakkur,77.4046,High Affluence,local_signal,1.0,0.0,5031.0,5031.0,5031.0,0.0,0.0,0.0,0.0,5390.03,6717.57,6213.456140350877,Premium,0.3113619884944747,,38.3,0.819665,0.949023,0.796387,0.51721,1.0,0.757465,dense_habitable,True,17,38,97,103,"G Corp The Icon (Elite Luxury, TAM 1,140) | Lodha Mirabelle (Ultra Luxury, TAM 437) | Embassy Astra (Elite Luxury, TAM 620) | Lodha Mirabelle Phase 2 (Ultra Luxury, TAM 284) | Manyata Residency (Elite Luxury, TAM 450)","Trilife Hospital (Ultra Premium, 10.1 min) | Aster CMI Hospital (Ultra Premium, 12.9 min) | Cloudnine Hospital - HRBR (Ultra Premium, 11.2 min) | Cloudnine Hospital (Super Premium, 3.6 min) | Shishuka Children's Specialty Hospital (Ultra Premium, 8.8 min)",
5,8761892d9ffffff,Sampigehalli-Akash Ward,76.3121,High Affluence,local_signal,0.9333,0.0,2656.0,2656.0,2656.0,0.0,0.0,0.0,0.0,2988.9,4656.71,10450.0,Premium Candidate,0.33684539898410065,3.0,1.0,0.747939,0.900535,0.617701,0.708577,1.0,0.4382,sparse_habitable,True,19,57,102,58,"Mana Verdant (Ultra Luxury, TAM 484) | Down By The Water (Elite Luxury, TAM 602) | Bollineni Astra (Super Luxury, TAM 199) | Jakkur  Pelican Gardens (Elite Luxury, TAM 133) | Vivek Marvel (Premium Luxury, TAM 220)","Aster CMI Hospital (Ultra Premium, 14.1 min) | Maarga (Ultra Premium, 10.3 min) | Regal Hospital (Super Premium, 6.3 min) | Mind and Brain hospital (Ultra Premium, 14.3 min) | Manipal Hospital (Super Premium, 8.9 min)",
6,876189272ffffff,Chikkakanneli-Gunjur,75.4356,High Affluence,local_signal,0.9,0.0,8705.0,8705.0,8705.0,0.0,0.0,0.0,0.0,9297.35,11549.53,10063.868852459014,Mid-Segment,0.1684989494639561,4.0,10.024342105263159,0.846852,0.985172,0.82683,0.683922,0.593065,0.649691,habitable,True,21,41,86,93,"Adarsh Palm Retreat (Elite Luxury, TAM 2,800) | SJR Primecorp Palazza City (Ultra Luxury, TAM 988) | Adarsh Palm Retreat Tower II (Ultra Luxury, TAM 504) | SJR Palazza City (Elite Luxury, TAM 988) | Mana Verdant Terraces (Ultra Luxury, TAM 318)","Sakra World Hospital (Ultra Premium, 6.8 min) | Belenus Champion Hospital (Ultra Premium, 3.5 min) | Manipal Hospital (Ultra Premium, 8.2 min) | Cloudnine Hospital (Ultra Premium, 9.5 min) | Apollo Clinic (Ultra Premium, 7.7 min)",
7,8761892caffffff,Jakkur-Amruthahalli,75.4186,High Affluence,core_cluster,1.0,0.0,2291.0,2291.0,2291.0,0.0,0.0,0.0,0.0,2708.3,5330.11,9052.686746987953,Mid-Segment,0.03360007327855049,2.0,54.9,0.782051,0.955208,0.755032,0.513368,0.965123,0.740185,habitable,True,27,68,136,90,"Sobha HRC Pristine (Ultra Luxury, TAM 395) | Brigade Laguna (Ultra Luxury, TAM 212) | Century Astoria (Elite Luxury, TAM 334) | Assetz Soho & Sky (Ultra Luxury, TAM 114) | Unishire Premia (Ultra Luxury, TAM 78)","Aster CMI Hospital (Ultra Premium, 7.6 min) | Mind and Brain hospital (Ultra Premium, 7.9 min) | Maarga (Ultra Premium, 9.8 min) | Trilife Hospital (Ultra Premium, 14.1 min) | Medstar Speciality Hospital (Ultra Premium, 7.3 min)",
8,876189218ffffff,Belathur-S.M Krishna Ward,75.1568,High Affluence,local_signal,1.0,0.0,5588.0,5588.0,5588.0,0.0,0.0,0.0,0.0,6256.05,9992.47,6662.661207778915,Mid-Segment,0.03980707860771887,3.0,10.592307692307692,0.849598,1.0,0.686207,0.514118,0.841968,0.61279,habitable,True,40,90,201,42,"Mahindra Blossom (Ultra Luxury, TAM 735) | Alembic Cloud Forest (Elite Luxury, TAM 1,330) | Sumadhura Capitol Residences (Ultra Luxury, TAM 405) | Prestige Park View (Ultra Luxury, TAM 376) | Sobha Habitech (Elite Luxury, TAM 318)","Aster Women & Children Hospital (Ultra Premium, 7.2 min) | Aster Whitefield Hospital (Ultra Premium, 7.2 min) | RxDx Healthcare (Ultra Premium, 10.8 min) | Kinder Women's Hospital and Fertility Centre (Ultra Premium, 12.4 min) | Kauvery Hospital (Ultra Premium, 14.9 min)",
9,8761892ddffffff,Sampigehalli-Jakkur,74.9331,High Affluence,local_signal,1.0,0.0,5046.0,5046.0,5046.0,0.0,0.0,0.0,0.0,6008.28,8366.96,5509.158215010142,Mid-Segment,0.011381467968489451,2.6666666666666665,4.266666666666667,0.840072,0.991472,0.697268,0.431493,0.972071,0.678609,habitable,True,20,42,93,76,"Sobha City (Ultra Luxury, TAM 1,762) | Bhartiya Nikoo Homes V Phase 2 (Ultra Luxury, TAM 1,136) | SNN Estates Felicity (Ultra Luxury, TAM 580) | Sumadhura Solea (Ultra Luxury, TAM 233) | Elegant Aura (Ultra Luxury, TAM 90)","Regal Hospital (Super Premium, 2.5 min) | Cloudnine Hospital (Super Premium, 4.1 min) | Trilife Hospital (Ultra Premium, 14.7 min) | Aster CMI Hospital (Ultra Premium, 17.5 min) | Cloudnine Hospital - HRBR (Ultra Premium, 15.8 min)",
10,876189276ffffff,Kodathi,74.904,High Affluence,independent_anchor,0.8333,0.0,5814.0,5814.0,5626.0,0.0,0.0,0.0,0.0,6383.35,7527.18,12077.455947136565,Mid-Segment,0.3789950615297324,,10.1,0.832281,0.948843,0.722794,0.785134,0.647877,0.454485,sparse_habitable,True,12,24,31,63,"Sobha Pavilion (Ultra Luxury, TAM 1,284) | Godrej Lakeside Orchard (Ultra Luxury, TAM 875) | EAST PARK RESIDENCES (Ultra Luxury, TAM 497) | Skanda Avani (Elite Luxury, TAM 376) | JR Greenwich (Ultra Luxury, TAM 170)","Belenus Champion Hospital (Ultra Premium, 3.0 min) | Manipal Hospital (Ultra Premium, 11.3 min) | Sakra World Hospital (Ultra Premium, 13.5 min) | Cloudnine Hospital (Ultra Premium, 12.6 min) | Apollo Clinic (Ultra Premium, 13.5 min)",
