name,original_name,latitude,longitude,line,operator,wikipedia,osm_id
Attiguppe Metro Station,Attiguppe,12.9618931,77.5335788,Unknown,Bangalore Metro Rail Corporation Limited,N/A,node/6400857563
BTM Layout Metro Station,BTM Layout,12.9165878,77.6081182,Unknown,Bangalore Metro Rail Corporation Limited,N/A,node/5760198226
Baiyappanahalli Metro Station,Baiyappanahalli,12.9907594,77.6523612,Unknown,Bangalore Metro Rail Corporation Limited,N/A,node/6400857549
Banashankari Metro Station,Banashankari,12.9152208,77.573598,Unknown,Bangalore Metro Rail Corporation Limited,N/A,node/6432710294
Benniganahalli Metro Station,Benniganahalli,12.9965158,77.6684619,Unknown,Bangalore Metro Rail Corporation Limited,N/A,node/5760197766
Beratena Agrahara Metro Station,Beratena Agrahara,12.8638665,77.6578624,Unknown,Bangalore Metro Rail Corporation Limited,N/A,node/5760198153
Biocon Hebbagodi Metro Station,Biocon Hebbagodi,12.8290325,77.6813744,Unknown,Bangalore Metro Rail Corporation Limited,N/A,node/11521199307
Bommanahalli Metro Station,Bommanahalli,12.9106157,77.6264782,Unknown,Bangalore Metro Rail Corporation Limited,N/A,node/5760198202
Central Silk Board Metro Station,Central Silk Board,12.9165816,77.620567,Unknown,Bangalore Metro Rail Corporation Limited,N/A,node/5760198212
Challaghatta Metro Station,Challaghatta,12.8973539,77.4612877,Unknown,Bangalore Metro Rail Corporation Limited,N/A,node/9919570131
Chickpete Metro Station,Chickpete,12.9668974,77.5745566,Unknown,Bangalore Metro Rail Corporation Limited,N/A,node/6432710301
Chikkabidarakallu Metro Station,Chikkabidarakallu,13.0523616,77.4879154,Unknown,Bangalore Metro Rail Corporation Limited,en:Chikkabidarakallu metro station,node/1576973954
Cubbon Park Metro Station,Cubbon Park,12.9809575,77.5975756,Unknown,Bangalore Metro Rail Corporation Limited,N/A,node/6400857555
Dasarahalli Metro Station,Dasarahalli,13.0432607,77.5125535,Unknown,Bangalore Metro Rail Corporation Limited,N/A,node/5960788724
Deepanjali Nagar Metro Station,Deepanjali Nagar,12.9520578,77.5370122,Unknown,Bangalore Metro Rail Corporation Limited,N/A,node/6400857564
Delta Electronics Bommasandra Metro Station,Delta Electronics Bommasandra,12.8193944,77.6883453,Unknown,Bangalore Metro Rail Corporation Limited,N/A,node/5760197806
Doddakallasandra Metro Station,Doddakallasandra,12.8846435,77.5527546,Unknown,Bangalore Metro Rail Corporation Limited,N/A,node/9919651776
"Dr. B. R. Ambedkar Station, Vidhana Soudha Metro Station","Dr. B. R. Ambedkar Station, Vidhana Soudha",12.9787419,77.5916385,Unknown,Bangalore Metro Rail Corporation Limited,N/A,node/6400857556
Electronic City Metro Station,Electronic City,12.8565053,77.6635228,Unknown,Bangalore Metro Rail Corporation Limited,N/A,node/5760198145
Garudacharpalya Metro Station,Garudacharpalya,12.9934505,77.7036768,#e542de,Bangalore Metro Rail Corporation Limited,en:Garudacharapalya metro station,node/5760197762
Goraguntepalya Metro Station,Goraguntepalya,13.0283319,77.5408483,Unknown,Bangalore Metro Rail Corporation Limited,N/A,way/1353733806
Halasuru Metro Station,Halasuru,12.9764992,77.626686,Unknown,Bangalore Metro Rail Corporation Limited,N/A,node/6400857552
Hongasandra Metro Station,Hongasandra,12.9016952,77.6319861,Unknown,Bangalore Metro Rail Corporation Limited,N/A,node/5760198198
Hoodi Metro Station,Hoodi,12.9888029,77.711326,#e542de,Bangalore Metro Rail Corporation Limited,en:Hoodi Junction metro station,node/5760197761
Hopefarm Channasandra Metro Station,Hopefarm Channasandra,12.9873426,77.7538033,#e542de,Bangalore Metro Rail Corporation Limited,en:Channasandra metro station,node/5760197745
Hosa Road Metro Station,Hosa Road,12.8707491,77.652447,Unknown,Bangalore Metro Rail Corporation Limited,N/A,node/5760198162
Huskur Road Metro Station,Huskur Road,12.8391572,77.6773716,Unknown,Bangalore Metro Rail Corporation Limited,N/A,node/5760198122
Indiranagar Metro Station,Indiranagar,12.9783325,77.6386612,Unknown,Bangalore Metro Rail Corporation Limited,N/A,node/6400857551
Infosys Foundation Konappana Agrahara Metro Station,Infosys Foundation Konappana Agrahara,12.8464134,77.6711655,Unknown,Bangalore Metro Rail Corporation Limited,N/A,node/5760198133
Jalahalli Metro Station,Jalahalli,13.0394104,77.5197351,Unknown,Bangalore Metro Rail Corporation Limited,en:Jalahalli metro station,node/5960788725
Jaya Prakash Nagar Metro Station,Jaya Prakash Nagar,12.9074747,77.5731279,Unknown,Bangalore Metro Rail Corporation Limited,N/A,node/6432710293
Jayadeva Hospital Metro Station,Jayadeva Hospital,12.916731,77.5999663,Unknown,Bangalore Metro Rail Corporation Limited,N/A,node/3302642058
