pincode,canonical_city_id,districts,states,office_count,has_delivery_office,decision,decision_rule,source
560001,bengaluru,BENGALURU URBAN,KARNATAKA,9,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
560002,bengaluru,BENGALURU URBAN,KARNATAKA,2,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
560003,bengaluru,BENGALURU URBAN,KARNATAKA,4,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
560004,bengaluru,BENGALURU URBAN,KARNATAKA,4,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
560005,bengaluru,BENGALURU URBAN,KARNATAKA,1,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
560006,bengaluru,BENGALURU URBAN,KARNATAKA,2,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
560007,bengaluru,BENGALURU URBAN,KARNATAKA,2,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
560008,bengaluru,BENGALURU URBAN,KARNATAKA,2,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
560009,bengaluru,BENGALURU URBAN,KARNATAKA,2,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
560010,bengaluru,BENGALURU URBAN,KARNATAKA,3,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
560011,bengaluru,BENGALURU URBAN,KARNATAKA,2,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
560012,bengaluru,BENGALURU URBAN,KARNATAKA,1,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
560013,bengaluru,BENGALURU URBAN,KARNATAKA,2,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
560015,bengaluru,BENGALURU URBAN,KARNATAKA,1,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
560016,bengaluru,BENGALURU URBAN,KARNATAKA,3,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
560017,bengaluru,BENGALURU URBAN,KARNATAKA,2,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
560018,bengaluru,BENGALURU URBAN,KARNATAKA,2,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
560020,bengaluru,BENGALURU URBAN,KARNATAKA,1,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
560021,bengaluru,BENGALURU URBAN,KARNATAKA,2,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
560022,bengaluru,BENGALURU URBAN,KARNATAKA,2,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
560023,bengaluru,BENGALURU URBAN,KARNATAKA,1,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
560024,bengaluru,BENGALURU URBAN,KARNATAKA,3,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
560025,bengaluru,BENGALURU URBAN,KARNATAKA,3,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
560026,bengaluru,BENGALURU URBAN,KARNATAKA,2,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
560027,bengaluru,BENGALURU URBAN,KARNATAKA,3,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
