pincode,canonical_city_id,districts,states,office_count,has_delivery_office,decision,decision_rule,source
600001,chennai,CHENNAI,TAMIL NADU,6,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
600002,chennai,CHENNAI,TAMIL NADU,3,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
600003,chennai,CHENNAI,TAMIL NADU,3,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
600004,chennai,CHENNAI,TAMIL NADU,3,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
600005,chennai,CHENNAI,TAMIL NADU,4,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
600006,chennai,CHENNAI,TAMIL NADU,4,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
600007,chennai,CHENNAI,TAMIL NADU,1,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
600008,chennai,CHENNAI,TAMIL NADU,3,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
600009,chennai,CHENNAI,TAMIL NADU,1,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
600010,chennai,CHENNAI,TAMIL NADU,2,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
600011,chennai,CHENNAI,TAMIL NADU,2,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
600012,chennai,CHENNAI,TAMIL NADU,3,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
600013,chennai,CHENNAI,TAMIL NADU,1,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
600014,chennai,CHENNAI,TAMIL NADU,2,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
600015,chennai,CHENNAI,TAMIL NADU,2,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
600016,chennai,CHENNAI,TAMIL NADU,4,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
600017,chennai,CHENNAI,TAMIL NADU,4,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
600018,chennai,CHENNAI,TAMIL NADU,2,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
600019,chennai,CHENNAI,TAMIL NADU,1,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
600020,chennai,CHENNAI,TAMIL NADU,3,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
600021,chennai,CHENNAI,TAMIL NADU,2,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
600022,chennai,CHENNAI,TAMIL NADU,1,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
600023,chennai,CHENNAI,TAMIL NADU,1,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
600024,chennai,CHENNAI,TAMIL NADU,1,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
600025,chennai,CHENNAI,TAMIL NADU,1,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
600026,chennai,CHENNAI,TAMIL NADU,1,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
600028,chennai,CHENNAI,TAMIL NADU,2,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
600030,chennai,CHENNAI,TAMIL NADU,2,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
600031,chennai,CHENNAI,TAMIL NADU,2,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
600032,chennai,CHENNAI,TAMIL NADU,2,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
600033,chennai,CHENNAI,TAMIL NADU,2,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
600034,chennai,CHENNAI,TAMIL NADU,3,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
600035,chennai,CHENNAI,TAMIL NADU,1,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
600036,chennai,CHENNAI,TAMIL NADU,1,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
600037,chennai,CHENNAI,TAMIL NADU,1,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
600038,chennai,CHENNAI,TAMIL NADU,1,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
600039,chennai,CHENNAI,TAMIL NADU,2,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
600040,chennai,CHENNAI,TAMIL NADU,1,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
600041,chennai,CHENNAI,TAMIL NADU,3,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
600042,chennai,CHENNAI,TAMIL NADU,1,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
600049,chennai,CHENNAI,TAMIL NADU,3,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
600050,chennai,CHENNAI,TAMIL NADU,1,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
600051,chennai,CHENNAI,TAMIL NADU,1,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
600053,chennai,CHENNAI,TAMIL NADU,1,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
600057,chennai,CHENNAI,TAMIL NADU,1,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
600058,chennai,CHENNAI,TAMIL NADU,2,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
600060,chennai,CHENNAI,TAMIL NADU,2,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
600061,chennai,CHENNAI,TAMIL NADU,2,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
600066,chennai,CHENNAI,TAMIL NADU,1,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
600068,chennai,CHENNAI,TAMIL NADU,1,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
600076,chennai,CHENNAI,TAMIL NADU,1,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
600077,chennai,CHENNAI,TAMIL NADU,1,false,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
