pincode,districts,states,office_count,decision,reason,candidate_universe
121102,PALWAL,HARYANA,25,exclude,"same 3-digit postal prefix as included PIN, but no office in an approved component district",adjacent_prefix_audit
121103,PALWAL,HARYANA,12,exclude,"same 3-digit postal prefix as included PIN, but no office in an approved component district",adjacent_prefix_audit
121105,PALWAL,HARYANA,10,exclude,"same 3-digit postal prefix as included PIN, but no office in an approved component district",adjacent_prefix_audit
121106,PALWAL,HARYANA,10,exclude,"same 3-digit postal prefix as included PIN, but no office in an approved component district",adjacent_prefix_audit
121107,PALWAL,HARYANA,7,exclude,"same 3-digit postal prefix as included PIN, but no office in an approved component district",adjacent_prefix_audit
122104,NUH,HARYANA,6,exclude,"same 3-digit postal prefix as included PIN, but no office in an approved component district",adjacent_prefix_audit
122105,NUH,HARYANA,12,exclude,"same 3-digit postal prefix as included PIN, but no office in an approved component district",adjacent_prefix_audit
122107,NUH,HARYANA,10,exclude,"same 3-digit postal prefix as included PIN, but no office in an approved component district",adjacent_prefix_audit
122108,NUH,HARYANA,7,exclude,"same 3-digit postal prefix as included PIN, but no office in an approved component district",adjacent_prefix_audit
122508,NUH,HARYANA,17,exclude,"same 3-digit postal prefix as included PIN, but no office in an approved component district",adjacent_prefix_audit
203001,BULANDSHAHR;HATHRAS,UTTAR PRADESH,31,exclude,"same 3-digit postal prefix as included PIN, but no office in an approved component district",adjacent_prefix_audit
203002,BULANDSHAHR,UTTAR PRADESH,5,exclude,"same 3-digit postal prefix as included PIN, but no office in an approved component district",adjacent_prefix_audit
203129,BULANDSHAHR,UTTAR PRADESH,11,exclude,"same 3-digit postal prefix as included PIN, but no office in an approved component district",adjacent_prefix_audit
203131,BULANDSHAHR,UTTAR PRADESH,28,exclude,"same 3-digit postal prefix as included PIN, but no office in an approved component district",adjacent_prefix_audit
203132,BULANDSHAHR,UTTAR PRADESH,7,exclude,"same 3-digit postal prefix as included PIN, but no office in an approved component district",adjacent_prefix_audit
203150,BULANDSHAHR,UTTAR PRADESH,11,exclude,"same 3-digit postal prefix as included PIN, but no office in an approved component district",adjacent_prefix_audit
203205,BULANDSHAHR,UTTAR PRADESH,12,exclude,"same 3-digit postal prefix as included PIN, but no office in an approved component district",adjacent_prefix_audit
203206,BULANDSHAHR,UTTAR PRADESH,2,exclude,"same 3-digit postal prefix as included PIN, but no office in an approved component district",adjacent_prefix_audit
203389,BULANDSHAHR,UTTAR PRADESH,5,exclude,"same 3-digit postal prefix as included PIN, but no office in an approved component district",adjacent_prefix_audit
203390,BULANDSHAHR,UTTAR PRADESH,12,exclude,"same 3-digit postal prefix as included PIN, but no office in an approved component district",adjacent_prefix_audit
203391,BULANDSHAHR,UTTAR PRADESH,6,exclude,"same 3-digit postal prefix as included PIN, but no office in an approved component district",adjacent_prefix_audit
203392,BULANDSHAHR,UTTAR PRADESH,16,exclude,"same 3-digit postal prefix as included PIN, but no office in an approved component district",adjacent_prefix_audit
203393,BULANDSHAHR,UTTAR PRADESH,17,exclude,"same 3-digit postal prefix as included PIN, but no office in an approved component district",adjacent_prefix_audit
203394,BULANDSHAHR,UTTAR PRADESH,19,exclude,"same 3-digit postal prefix as included PIN, but no office in an approved component district",adjacent_prefix_audit
203395,BULANDSHAHR,UTTAR PRADESH,7,exclude,"same 3-digit postal prefix as included PIN, but no office in an approved component district",adjacent_prefix_audit
203396,BULANDSHAHR,UTTAR PRADESH,8,exclude,"same 3-digit postal prefix as included PIN, but no office in an approved component district",adjacent_prefix_audit
203397,BULANDSHAHR,UTTAR PRADESH,8,exclude,"same 3-digit postal prefix as included PIN, but no office in an approved component district",adjacent_prefix_audit
203398,BULANDSHAHR,UTTAR PRADESH,15,exclude,"same 3-digit postal prefix as included PIN, but no office in an approved component district",adjacent_prefix_audit
203399,BULANDSHAHR,UTTAR PRADESH,4,exclude,"same 3-digit postal prefix as included PIN, but no office in an approved component district",adjacent_prefix_audit
