pincode,canonical_city_id,districts,states,office_count,has_delivery_office,decision,decision_rule,source
500001,hyderabad,HYDERABAD,TELANGANA,4,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
500002,hyderabad,HYDERABAD,TELANGANA,1,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
500003,hyderabad,HYDERABAD,TELANGANA,1,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
500004,hyderabad,HYDERABAD,TELANGANA,6,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
500005,hyderabad,HYDERABAD,TELANGANA,1,false,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
500006,hyderabad,HYDERABAD,TELANGANA,2,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
500007,hyderabad,HYDERABAD,TELANGANA,3,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
500008,hyderabad,HYDERABAD,TELANGANA,6,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
500009,hyderabad,HYDERABAD,TELANGANA,1,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
500010,hyderabad,HYDERABAD,TELANGANA,2,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
500011,hyderabad,HYDERABAD,TELANGANA,1,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
500012,hyderabad,HYDERABAD,TELANGANA,1,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
500014,hyderabad,HYDERABAD,TELANGANA,1,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
500015,hyderabad,HYDERABAD,TELANGANA,2,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
500016,hyderabad,HYDERABAD,TELANGANA,1,false,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
500017,hyderabad,HYDERABAD,TELANGANA,2,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
500020,hyderabad,HYDERABAD,TELANGANA,4,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
500022,hyderabad,HYDERABAD,TELANGANA,1,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
500023,hyderabad,HYDERABAD,TELANGANA,1,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
500024,hyderabad,HYDERABAD,TELANGANA,1,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
500025,hyderabad,HYDERABAD,TELANGANA,2,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
500026,hyderabad,HYDERABAD,TELANGANA,1,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
500027,hyderabad,HYDERABAD,TELANGANA,2,false,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
500028,hyderabad,HYDERABAD,TELANGANA,2,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
500029,hyderabad,HYDERABAD,TELANGANA,3,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
500031,hyderabad,HYDERABAD,TELANGANA,1,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
500032,hyderabad,HYDERABAD,TELANGANA,1,false,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
500033,hyderabad,HYDERABAD,TELANGANA,2,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
500034,hyderabad,HYDERABAD,TELANGANA,1,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
500036,hyderabad,HYDERABAD,TELANGANA,3,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
500038,hyderabad,HYDERABAD,TELANGANA,2,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
500040,hyderabad,HYDERABAD,TELANGANA,1,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
500041,hyderabad,HYDERABAD,TELANGANA,1,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
500044,hyderabad,HYDERABAD,TELANGANA,4,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
500045,hyderabad,HYDERABAD,TELANGANA,2,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
