pincode,canonical_city_id,districts,states,office_count,has_delivery_office,decision,decision_rule,source
700001,kolkata,KOLKATA,WEST BENGAL,13,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
700002,kolkata,KOLKATA,WEST BENGAL,8,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
700003,kolkata,KOLKATA,WEST BENGAL,3,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
700004,kolkata,KOLKATA,WEST BENGAL,3,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
700005,kolkata,KOLKATA,WEST BENGAL,2,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
700006,kolkata,KOLKATA,WEST BENGAL,7,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
700007,kolkata,KOLKATA,WEST BENGAL,6,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
700008,kolkata,KOLKATA,WEST BENGAL,1,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
700009,kolkata,KOLKATA,WEST BENGAL,2,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
700010,kolkata,KOLKATA,WEST BENGAL,3,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
700011,kolkata,KOLKATA,WEST BENGAL,1,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
700012,kolkata,KOLKATA,WEST BENGAL,3,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
700013,kolkata,KOLKATA,WEST BENGAL,1,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
700014,kolkata,KOLKATA,WEST BENGAL,5,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
700015,kolkata,KOLKATA,WEST BENGAL,3,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
700016,kolkata,KOLKATA,WEST BENGAL,3,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
700017,kolkata,KOLKATA,WEST BENGAL,4,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
700018,kolkata,KOLKATA,WEST BENGAL,2,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
700019,kolkata,KOLKATA,WEST BENGAL,6,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
