pincode,canonical_city_id,districts,states,office_count,has_delivery_office,decision,decision_rule,source
410301,pune,PUNE,MAHARASHTRA,1,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
410302,pune,PUNE,MAHARASHTRA,1,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
410401,pune,PUNE,MAHARASHTRA,4,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
410402,pune,PUNE,MAHARASHTRA,2,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
410403,pune,PUNE,MAHARASHTRA,1,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
410405,pune,PUNE,MAHARASHTRA,8,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
410406,pune,PUNE,MAHARASHTRA,2,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
410501,pune,PUNE,MAHARASHTRA,16,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
410502,pune,PUNE,MAHARASHTRA,23,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
410503,pune,PUNE,MAHARASHTRA,6,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
410504,pune,PUNE,MAHARASHTRA,13,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
410505,pune,PUNE,MAHARASHTRA,21,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
410506,pune,PUNE,MAHARASHTRA,9,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
410507,pune,PUNE,MAHARASHTRA,7,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
410508,pune,PUNE,MAHARASHTRA,1,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
410509,pune,PUNE,MAHARASHTRA,14,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
410510,pune,PUNE,MAHARASHTRA,3,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
410511,pune,PUNE,MAHARASHTRA,2,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
410512,pune,PUNE,MAHARASHTRA,5,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
410513,pune,PUNE,MAHARASHTRA,4,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
410515,pune,PUNE,MAHARASHTRA,4,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
410516,pune,PUNE,MAHARASHTRA,2,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
411001,pune,PUNE,MAHARASHTRA,8,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
411002,pune,PUNE,MAHARASHTRA,5,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
411003,pune,PUNE,MAHARASHTRA,5,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
411004,pune,PUNE,MAHARASHTRA,3,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
411005,pune,PUNE,MAHARASHTRA,4,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
411006,pune,PUNE,MAHARASHTRA,2,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
411007,pune,PUNE,MAHARASHTRA,2,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
411008,pune,PUNE,MAHARASHTRA,2,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
411009,pune,PUNE,MAHARASHTRA,2,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
411011,pune,PUNE,MAHARASHTRA,3,true,include,office district is in configured city scope,https://www.data.gov.in/sites/default/files/datafile/pincode.csv
