hospital_id,name,normalized_name,city,practice_type,locality,address,latitude,longitude,h3_res7,zone,doctors_count,speciality_count,multispeciality,other_centers_count,consultation_fee_min,consultation_fee_max,rating,reviews_count,year_established,phone,profile_url,image_url,status,source,scraped_at,data_completeness,dedupe_status,city_rank,quartile,q4_subquartile,segment,hospital_score
hosp_c6ac20a2cedd5668,I K Hospitals,i k hospitals,Chennai,Hospital,Anna Nagar,,13.086960720815355,80.19900441169739,87618c4d3ffffff,,3.0,5.0,True,,0.0,300.0,5.0,5865.0,,+914448134923,https://www.practo.com/chennai/hospital/i-k-hospitals-anna-nagar-2?referrer=hospital_listing,,VN,practo,,1.0,canonical,1,Q4,Q4-Sub-Q4,Ultra Premium,0.662946
hosp_8d34ef73293ddcaa,Laser and Laparoscopic Hospital,laser laparoscopic hospital,Chennai,Hospital,T Nagar,,13.04332764473191,80.23716864417923,87618c4f2ffffff,,7.0,6.0,True,,0.0,800.0,5.0,1303.0,1955.0,+914440114719,https://www.practo.com/chennai/hospital/laser-and-laparoscopic-hospital-t-nagar?referrer=hospital_listing,https://images1-fabric.practo.com/practices/1136353/laser-and-laparoscopic-hospital-chennai-590ae90285e9b.jpg,ABS,practo,,1.0,canonical,2,Q4,Q4-Sub-Q4,Ultra Premium,0.520052
hosp_7d3fd056edd40008,Sri Ramachandra Medical Center,sri ramachandra medical center,Chennai,Hospital,Porur,,13.043361009724773,80.13874361077485,87618c4ceffffff,,36.0,25.0,True,,0.0,1000.0,5.0,252.0,1985.0,+914446276053,https://www.practo.com/chennai/hospital/sri-ramachandra-medical-centre-mugalivakkam?referrer=hospital_listing,https://images1-fabric.practo.com/practices/1063018/sri-ramachandra-medical-center-chennai-595e32d834094.jpg,VN,practo,,1.0,canonical,3,Q4,Q4-Sub-Q4,Ultra Premium,0.505729
hosp_ae37116031570f9f,Dr. Kamakshi Memorial Hospital,dr kamakshi memorial hospital,Chennai,Hospital,Pallikaranai,,12.94903212812409,80.20897015929222,87618c4e5ffffff,,81.0,43.0,True,,0.0,1500.0,4.5,1138.0,2004.0,+914448132959,https://www.practo.com/chennai/hospital/dr-kamakshi-memorial-hospital-pallikaranai-3?referrer=hospital_listing,https://images1-fabric.practo.com/practices/1137076/dr-kamakshi-memorial-hospital-chennai-67b8205d93cad.png,VN,practo,,1.0,canonical,4,Q4,Q4-Sub-Q4,Ultra Premium,0.50121
hosp_3964386a27cffbdb,MIOT International Hospital,miot international hospital,Chennai,Hospital,Manapakkam,,13.02094854982778,80.1848316192627,87618c4c0ffffff,,36.0,26.0,True,,0.0,800.0,5.0,553.0,,+914446271656,https://www.practo.com/chennai/hospital/miot-international-hospital-manapakkam-2?referrer=hospital_listing,https://images1-fabric.practo.com/dr-s-palaniappan-miot-hospital-chennai-1450988376-567c53584ff5f.gif,RFA,practo,,1.0,canonical,5,Q4,Q4-Sub-Q4,Ultra Premium,0.497074
hosp_6d30682e3e246852,R.K. Eye Centre,r k eye centre,Chennai,Hospital,T Nagar,,13.04869,80.23115,87618c4f2ffffff,,2.0,1.0,False,,500.0,500.0,5.0,3122.0,,+918047283017,https://www.practo.com/chennai/hospital/r-k-eye-centre-1-t-nagar?referrer=hospital_listing,https://images1-fabric.practo.com/54e5d9dc53e8cf92de063198f54ec5bbd07a422eb45ef.jpg,ABS,practo,,1.0,canonical,6,Q4,Q4-Sub-Q4,Ultra Premium,0.48581
hosp_2db8e977f035df03,Cloudnine Hospital,cloudnine hospital,Chennai,Hospital,T Nagar,,13.04336,80.246181,87618c4f2ffffff,,14.0,5.0,True,,400.0,1000.0,5.0,983.0,2007.0,+918037318834,https://www.practo.com/chennai/hospital/cloud-nine-hospital-tnagar?referrer=hospital_listing,https://images1-fabric.practo.com/555344912bbe30ca8a8c019d3a1c84b6d58b0e15510ea.png,ABS,practo,,1.0,canonical,7,Q4,Q4-Sub-Q4,Ultra Premium,0.47404
hosp_269d02d5018e683e,C.M.Hospital,c m hospital,Chennai,Hospital,Nanganallur,,12.98574,80.18598,87618c4e3ffffff,,11.0,11.0,True,,300.0,450.0,5.0,645.0,2000.0,+914461712656,https://www.practo.com/chennai/hospital/c-m-hospital-nanganallur?referrer=hospital_listing,https://images1-fabric.practo.com/55014f758211a68a4bcb59ac9c72acfcb68c4be30550b.jpg,VN,practo,,1.0,canonical,8,Q4,Q4-Sub-Q4,Ultra Premium,0.472918
hosp_ae76f941747c3bec,Astra Ortho N Spine Center,astra ortho n spine center,Chennai,Hospital,Velachery,,12.98973,80.21792,87618c4e2ffffff,,3.0,4.0,True,1.0,500.0,700.0,5.0,1485.0,,+914440116828,https://www.practo.com/chennai/hospital/astra-ortho-n-spine-center-velachery?referrer=hospital_listing,https://images1-fabric.practo.com/556eb686437b8bb3c83b9fb38c904fc7f9177ccee3040.png,ABS,practo,,1.0,canonical,9,Q4,Q4-Sub-Q4,Ultra Premium,0.471037
hosp_df02ff05ff25b172,A4 Hospital,a4 hospital,Chennai,Hospital,Valasaravakkam,,13.048848577435,80.181363523006,87618c4c2ffffff,,7.0,8.0,True,,300.0,800.0,5.0,1217.0,,+914446270809,https://www.practo.com/chennai/hospital/a4-hospital-valasaravakkam?referrer=hospital_listing,https://images1-fabric.practo.com/practices/665859/metro-speciality-clinic-chennai-5a001202e1f33.PNG,VN,practo,,1.0,canonical,10,Q4,Q4-Sub-Q4,Ultra Premium,0.470321
