hospital_id,name,normalized_name,city,practice_type,locality,address,latitude,longitude,h3_res7,zone,doctors_count,speciality_count,multispeciality,other_centers_count,consultation_fee_min,consultation_fee_max,rating,reviews_count,year_established,phone,profile_url,image_url,status,source,scraped_at,data_completeness,dedupe_status,city_rank,quartile,q4_subquartile,segment,hospital_score
hosp_851f17237e1d01d7,Marengo Asia Hospitals (Gurugram),marengo asia hospitals gurugram,Delhi NCR,Hospital,Gurgaon Sector 56,,28.418543,77.097382,873da1188ffffff,,47.0,27.0,True,,500.0,2500.0,4.5,4925.0,1995.0,+917948501414,https://www.practo.com/gurgaon/hospital/marengo-asia-hospitals-gurgaon-sector-56-2?referrer=hospital_listing,https://images1-fabric.practo.com/practices/734206/marengo-asia-hospitals-gurgaon-gurgaon-64548292570a9.jpg,RFA,practo,,1.0,canonical,1,Q4,Q4-Sub-Q4,Ultra Premium,0.667125
hosp_7cb6f08a9520c1e2,Sir Ganga Ram Hospital,sir ganga ram hospital,Delhi NCR,Hospital,Old Rajendra Nagar,,28.63813306976078,77.18936204910278,873da1144ffffff,,277.0,53.0,True,,0.0,2000.0,3.5,3749.0,1954.0,+911141171876,https://www.practo.com/delhi/hospital/sir-ganga-ram-hospital-delhi-old-rajendra-nagar-1?referrer=hospital_listing,https://images1-fabric.practo.com/sir-ganga-ram-hospital-delhi-1478185133-581b50ad4a882.png,VN,practo,,1.0,canonical,2,Q4,Q4-Sub-Q4,Ultra Premium,0.658741
hosp_1369dfe767fbb5b4,Netrayatan Dr. Grovers Centre For Eye Care &  Infertility,netrayatan dr grovers centre for eye care infertility,Delhi NCR,Hospital,Greater Kailash Part 2,,28.52996,77.2452,873da1029ffffff,,3.0,4.0,True,,700.0,1800.0,5.0,3340.0,2002.0,+918047284346,https://www.practo.com/delhi/hospital/netrayatan-hospital-greater-kailash-part-2?referrer=hospital_listing,https://images1-fabric.practo.com/practices/702946/netrayatan-dr-grovers-centre-for-eye-care-infertility-delhi-68b051dd2bc92.png,ABS,practo,,1.0,canonical,3,Q4,Q4-Sub-Q4,Ultra Premium,0.599057
hosp_cf6b73afe8ef8a80,Krishna Netralaya Eye Centre,krishna netralaya eye centre,Delhi NCR,Hospital,Gurgaon Sector 48,,28.406746687733,77.04191592881,873da1180ffffff,,3.0,1.0,True,1.0,1500.0,1500.0,5.0,3638.0,,+911141190299,https://www.practo.com/gurgaon/hospital/krishnanetralaya-sohna-road?referrer=hospital_listing,https://images1-fabric.practo.com/krishna-netralaya-gurgaon-1456988823-56d7e297a914b.jpg,VN,practo,,1.0,canonical,4,Q4,Q4-Sub-Q4,Ultra Premium,0.588723
hosp_8b243e81f5a19fe0,NSV Clinic,nsv clinic,Delhi NCR,Hospital,DLF Phase IV,,28.462469267018,77.08750999412,873da11a9ffffff,,1.0,1.0,True,,2000.0,2000.0,5.0,3366.0,,+911140036753,https://www.practo.com/gurgaon/hospital/dr-nehal-shah-vora-clinic-dlf-phase-iv?referrer=hospital_listing,,VN,practo,,1.0,canonical,5,Q4,Q4-Sub-Q4,Ultra Premium,0.573291
hosp_dc5be9265b93fe32,IPSC Pain and Spine Hospital,ipsc pain spine hospital,Delhi NCR,Hospital,Dwarka Sector 19,,28.5809657,76.9690313,873da189bffffff,,10.0,11.0,True,,300.0,1000.0,5.0,2356.0,,+912248931171,https://www.practo.com/delhi/hospital/interventional-pain-and-spine-centre-dwarka?referrer=hospital_listing,https://images1-fabric.practo.com/dr-maj-pankaj-n-surange-interventional-pain-and-spine-centre-delhi-1456393491-56cecd13df7be.jpg,ABS,practo,,1.0,canonical,6,Q4,Q4-Sub-Q4,Ultra Premium,0.546361
hosp_9206cfb32d1aeb0d,CK Birla Hospital,ck birla hospital,Delhi NCR,Hospital,Punjabi Bagh,,28.667226976629,77.13205750896,873da18d9ffffff,,40.0,27.0,True,,1000.0,2500.0,5.0,1373.0,,+918047284137,https://www.practo.com/delhi/hospital/ck-birla-hospital-punjabi-bagh?referrer=hospital_listing,https://images1-fabric.practo.com/practices/1355000/ck-birla-hospital-west-delhi-613301abcab29.JPG,ABS,practo,,1.0,canonical,7,Q4,Q4-Sub-Q4,Ultra Premium,0.545912
hosp_c15b50ec79d4b055,Aro Health,aro health,Delhi NCR,Hospital,Gurgaon Sector 38,,28.43285974603,77.045045290142,873da1185ffffff,,2.0,2.0,True,,1000.0,1200.0,5.0,2256.0,2012.0,+917317160363,https://www.practo.com/gurgaon/hospital/aro-health-gurgaon-sector-38?referrer=hospital_listing,https://images1-fabric.practo.com/aro-health-gurgaon-1455787784-56c58f080b429.jpg,ABS,practo,,1.0,canonical,8,Q4,Q4-Sub-Q4,Ultra Premium,0.530044
hosp_3785c1610131d472,Miracles Apollo Cradle Spectra,miracles apollo cradle spectra,Delhi NCR,Hospital,Gurgaon Sector 82,,28.392672846235,76.953147348257,873da11b6ffffff,,19.0,13.0,True,,900.0,1000.0,5.0,1518.0,,+917969204630,https://www.practo.com/gurgaon/hospital/miracles-apollocradle-spectra-gurgaon-sector-82?referrer=hospital_listing,https://images1-fabric.practo.com/practices/1341047/miracles-apollo-cradle-spectra-gurgaon-66756c5ac3134.png,ABS,practo,,1.0,canonical,9,Q4,Q4-Sub-Q4,Ultra Premium,0.512238
hosp_0532fc7b56d53b07,Pushpawati Singhania Research Institute (PSRI Hospital),pushpawati singhania research institute psri hospital,Delhi NCR,Hospital,Sheikh Sarai,,28.533441709834,77.225380565082,873da1028ffffff,,39.0,28.0,True,,0.0,2000.0,4.5,1953.0,1996.0,+911141193962,https://www.practo.com/delhi/hospital/pushpawati-singhania-research-institute-sheikh-sarai?referrer=hospital_listing,https://images1-fabric.practo.com/pushpawati-singhania-research-institute-delhi-1472810727-57c94ee75d066.jpg,VN,practo,,1.0,canonical,10,Q4,Q4-Sub-Q4,Ultra Premium,0.510465
