hospital_id,name,normalized_name,city,practice_type,locality,address,latitude,longitude,h3_res7,zone,doctors_count,speciality_count,multispeciality,other_centers_count,consultation_fee_min,consultation_fee_max,rating,reviews_count,year_established,phone,profile_url,image_url,status,source,scraped_at,data_completeness,dedupe_status,city_rank,quartile,q4_subquartile,segment,hospital_score
hosp_fb0caa65d2577a0f,Smiline Dental Hospitals,smiline dental hospitals,Hyderabad,Hospital,Punjagutta,,17.42991071184,78.44935603207,8760a2591ffffff,,10.0,1.0,True,,700.0,700.0,5.0,5675.0,,+914049173256,https://www.practo.com/hyderabad/hospital/smiline-dental-hospitals-srinagar-colony-1?referrer=hospital_listing,https://images1-fabric.practo.com/smiline-dental-hospitals-hyderabad-1456985154-56d7d44266973.jpg,VN,practo,,1.0,canonical,1,Q4,Q4-Sub-Q4,Ultra Premium,0.661804
hosp_2f9f54accb277bfc,Dr. P Siva Reddy Eye Hospital,dr p siva reddy eye hospital,Hyderabad,Hospital,Himayat Nagar,,17.397883915127537,78.48438955843449,8760a25b3ffffff,,1.0,1.0,True,,750.0,750.0,5.0,3934.0,,+914067822616,https://www.practo.com/hyderabad/hospital/dr-p-siva-reddy-eye-hospital-narayanguda?referrer=hospital_listing,https://images1-fabric.practo.com/51a89d90d3202logo,VN,practo,,1.0,canonical,2,Q4,Q4-Sub-Q4,Ultra Premium,0.575748
hosp_dd9b272c00dea131,Citizens Speciality Hospitals,citizens speciality hospitals,Hyderabad,Hospital,Lingampally,,17.4706677,78.3113086,8760a2485ffffff,,58.0,31.0,True,,0.0,1300.0,4.5,3473.0,,+914045208866,https://www.practo.com/hyderabad/hospital/citizens-hospital-lingampally-4?referrer=hospital_listing,https://images1-fabric.practo.com/citizens-hospital-hyderabad-1470900665-57ac29ba01a43.jpg,VN,practo,,1.0,canonical,3,Q4,Q4-Sub-Q4,Ultra Premium,0.572595
hosp_90b427614378d4f5,Apollo Hospitals,apollo hospitals,Hyderabad,Hospital,Jubilee Hills,,17.41487,78.41234,8760a259cffffff,,204.0,44.0,True,4.0,0.0,2000.0,4.0,1568.0,,+914041892133,https://www.practo.com/hyderabad/hospital/apollo-hospitals-18-jubilee-hills?referrer=hospital_listing,https://images1-fabric.practo.com/dr-vimee-bindra-clinic-apollo-hospita-hyderabad-1456987870-56d7dede540e9.jpg,VN,practo,,1.0,canonical,4,Q4,Q4-Sub-Q4,Ultra Premium,0.560306
hosp_b1ffabaf7823d686,Siri Dental-KARMANGHAT,siri dental karmanghat,Hyderabad,Hospital,LB Nagar,,17.34455,78.52921,8760b525effffff,,6.0,1.0,True,,0.0,400.0,5.0,2725.0,,+918037324178,https://www.practo.com/hyderabad/hospital/siri-multispeciality-dental-hospital-karmanghat?referrer=hospital_listing,https://images1-fabric.practo.com/siri-dental-hospital-hyderabad-1479988049-5836d3519307b.jpg,ABS,practo,,1.0,canonical,5,Q4,Q4-Sub-Q4,Ultra Premium,0.526621
hosp_e2da253c5013b13c,Germanten Hospitals,germanten hospitals,Hyderabad,Hospital,Attapur,,17.362032720116,78.428157210533,8760a2585ffffff,,17.0,15.0,True,,0.0,800.0,5.0,1129.0,2006.0,+918046808996,https://www.practo.com/hyderabad/hospital/germanten-hospitals-attapur-1?referrer=hospital_listing,https://images1-fabric.practo.com/practices/983268/germanten-hospitals-hyderabad-5c4aadb38b43f.PNG,ABS,practo,,1.0,canonical,6,Q4,Q4-Sub-Q4,Ultra Premium,0.508335
hosp_0751ea320ff02c45,Redefine Plastic and Cosmetic Surgery Center,redefine plastic cosmetic surgery center,Hyderabad,Hospital,Kothapet,,17.36907,78.53908,8760b52edffffff,,3.0,6.0,True,,1000.0,1500.0,5.0,1809.0,2012.0,+914048213517,https://www.practo.com/hyderabad/hospital/redefine-plastic-surgery-center-kothapet?referrer=hospital_listing,https://images1-fabric.practo.com/545c92445f7fa96d6f2e7e1f705ab5e59c84a6dc009b2.jpg,ABS,practo,,1.0,canonical,7,Q4,Q4-Sub-Q4,Ultra Premium,0.503746
hosp_e4fa072bcbd68086,Hegde Hospital,hegde hospital,Hyderabad,Hospital,Madhapur,,17.4445995,78.3023006,8760a24aeffffff,,7.0,7.0,True,4.0,500.0,800.0,4.5,3131.0,1977.0,+914045210458,https://www.practo.com/hyderabad/hospital/hegde-hospital-madhapur?referrer=hospital_listing,https://images1-fabric.practo.com/practices/675874/hegde-hospital-hyderabad-624d348a6ce99.jpg,ABS,practo,,1.0,canonical,8,Q4,Q4-Sub-Q4,Ultra Premium,0.500301
hosp_b85f2d6910040de7,Shenoy Hospitals,shenoy hospitals,Hyderabad,Hospital,East Marredpally,,17.447789298866503,78.5089498758316,8760b52cbffffff,,17.0,14.0,True,,0.0,3300.0,5.0,362.0,1963.0,+918045682934,https://www.practo.com/hyderabad/hospital/shenoy-hospitals-east-marredpally-1?referrer=hospital_listing,https://images1-fabric.practo.com/practices/1181639/shenoy-hospitals-hyderabad-5aa222b15266b.jpg,ABS,practo,,1.0,canonical,9,Q4,Q4-Sub-Q4,Ultra Premium,0.49478
hosp_93fba191cd78e1d3,Alavi Hospital,alavi hospital,Hyderabad,Hospital,Chintal,,17.4922204,78.4512617,8760b196effffff,,2.0,4.0,True,,300.0,400.0,5.0,1823.0,,+914067822744,https://www.practo.com/hyderabad/hospital/alavi-multi-speciality-hospital-chintal?referrer=hospital_listing,https://images1-fabric.practo.com/practices/1136542/alavi-multi-speciality-hospital-hyderabad-59f94c3df3362.jpg,VN,practo,,1.0,canonical,10,Q4,Q4-Sub-Q4,Ultra Premium,0.487744
hosp_289ab45d936a07c8,SLG Hospitals,slg hospitals,Hyderabad,Hospital,Nizampet,,17.528616061464,78.362753391266,8760a2494ffffff,,23.0,19.0,True,,300.0,700.0,5.0,608.0,,+914049172582,https://www.practo.com/hyderabad/hospital/slg-hospitals-nizampet?referrer=hospital_listing,https://images1-fabric.practo.com/practices/1245821/slg-hospitals-hyderabad-6655a1f05f067.png,VN,practo,,1.0,canonical,11,Q4,Q4-Sub-Q4,Ultra Premium,0.477878
hosp_b9377c65197586aa,ONUS ROBOTIC HOSPITALS,onus robotic hospitals,Hyderabad,Hospital,Champapet,,17.347115957698,78.520033614467,8760b525affffff,,7.0,5.0,True,,0.0,600.0,5.0,1363.0,,+914049170393,https://www.practo.com/hyderabad/hospital/onus-hospitals-champapet?referrer=hospital_listing,https://images1-fabric.practo.com/practices/1207781/onus-hospitals-hyderabad-64e619b22196e.jpg,ABS,practo,,1.0,canonical,12,Q4,Q4-Sub-Q4,Ultra Premium,0.47316
hosp_c03a7ce5358d2c8a,Lotus Hospitals | Kukatpally,lotus hospitals kukatpally,Hyderabad,Hospital,Kukatpally,,17.49135,78.393073,8760a24b6ffffff,,17.0,8.0,True,,500.0,1200.0,5.0,704.0,2012.0,+917949108238,https://www.practo.com/hyderabad/hospital/lotus-children-hospitals-kukatpally?referrer=hospital_listing,https://images1-fabric.practo.com/practices/615835/lotus-hospitals-kukatpally-hyderabad-69216458adf54.png,ABS,practo,,1.0,canonical,13,Q4,Q4-Sub-Q4,Ultra Premium,0.467252
hosp_acbbda5bd14beff7,KIMS - Krishna Institute of Medical Sciences,kims krishna institute medical sciences,Hyderabad,Hospital,Secunderabad,,17.38504,78.48667,8760a25b0ffffff,,127.0,50.0,True,,0.0,1500.0,4.0,776.0,,+914071963655,https://www.practo.com/hyderabad/hospital/krishna-institute-of-medical-sciences-kims-secunderabad?referrer=hospital_listing,https://images1-fabric.practo.com/kims-hospitals-hyderabad-1466088156-5762badc0b649.jpg,VN,practo,,1.0,canonical,14,Q4,Q4-Sub-Q4,Ultra Premium,0.463682
hosp_549c8ae2be3fa9fa,Medicover Hospitals - Hitech City,medicover hospitals hitech city,Hyderabad,Hospital,Hitech City,,17.44582,78.3774,8760a259bffffff,,95.0,33.0,True,3.0,500.0,1000.0,4.0,1974.0,2015.0,+917941056658,https://www.practo.com/hyderabad/hospital/medicover-hospitals-hitech-city-1?referrer=hospital_listing,https://images1-fabric.practo.com/practices/1154495/medicover-hospitals-hyderabad-5d7b62f31bc20.PNG,ABS,practo,,1.0,canonical,15,Q4,Q4-Sub-Q4,Ultra Premium,0.458128
hosp_283cdcc2c41fe254,Udai Omni Hospital,udai omni hospital,Hyderabad,Hospital,Chapel Road,,17.395815331829155,78.47139855344722,8760a25b3ffffff,,23.0,13.0,True,,0.0,950.0,4.5,1457.0,1974.0,+914049172582,https://www.practo.com/hyderabad/hospital/udai-omni-hospital-chapel-road?referrer=hospital_listing,https://images1-fabric.practo.com/udai-omni-hospital-hyderabad-1481627624-584fd7e8e0991.jpg,VN,practo,,1.0,canonical,16,Q4,Q4-Sub-Q4,Ultra Premium,0.456032
hosp_707dc4b9f223c8bd,Chetana Hospital,chetana hospital,Hyderabad,Hospital,Secunderabad,,17.436,78.4832,8760a2596ffffff,,4.0,1.0,False,,0.0,1000.0,5.0,2027.0,2013.0,+914049172582,https://www.practo.com/hyderabad/hospital/chetana-hospital-secunderabad-1?referrer=hospital_listing,https://images1-fabric.practo.com/chetana-hospital-1446550201-56389ab9aa44a.jpeg,VN,practo,,1.0,canonical,17,Q4,Q4-Sub-Q4,Ultra Premium,0.453894
hosp_2324db755a81f44a,Pace Hospitals,pace hospitals,Hyderabad,Hospital,Madinaguda,,17.494154749252,78.34704938829,8760a24b3ffffff,,8.0,13.0,True,1.0,0.0,600.0,4.5,2688.0,,+914045206170,https://www.practo.com/hyderabad/hospital/pace-hospitals-best-gastro-liver-kidney-centre-24x7-begumpet?referrer=hospital_listing,https://images1-fabric.practo.com/practices/1207742/pace-hospitals-hyderabad-5b46e57acccf1.jpg,active,practo,,1.0,canonical,18,Q4,Q4-Sub-Q4,Ultra Premium,0.452829
hosp_06b06ff56d6d508a,Manasa Nursing Home,manasa nursing home,Hyderabad,Hospital,Padmarao Nagar,,17.4290753,78.5072058,8760b52c9ffffff,,2.0,1.0,True,,1800.0,2000.0,5.0,686.0,1997.0,+917969205164,https://www.practo.com/hyderabad/hospital/manasa-nursing-home-padmarao-nagar-011?referrer=hospital_listing,https://images1-fabric.practo.com/practices/1017232/manasa-nursing-home-hyderabad-665ecbc2590d8.png,ABS,practo,,1.0,canonical,19,Q4,Q4-Sub-Q4,Ultra Premium,0.450025
