hospital_id,name,normalized_name,city,practice_type,locality,address,latitude,longitude,h3_res7,zone,doctors_count,speciality_count,multispeciality,other_centers_count,consultation_fee_min,consultation_fee_max,rating,reviews_count,year_established,phone,profile_url,image_url,status,source,scraped_at,data_completeness,dedupe_status,city_rank,quartile,q4_subquartile,segment,hospital_score
hosp_b8121c9211d1ede6,Medica Superspeciality Hospital,medica superspeciality hospital,Kolkata,Hospital,Mukundapur,,22.49441,88.400831,873cf2c42ffffff,,62.0,41.0,True,,0.0,1700.0,5.0,656.0,,+913340586258,https://www.practo.com/kolkata/hospital/medica-superspeciality-hospital-mukundapur1?referrer=hospital_listing,https://images1-fabric.practo.com/medica-superspecialty-hospital-kolkata-1479724170-5832cc8aa5859.jpg,VN,practo,,1.0,canonical,1,Q4,Q4-Sub-Q4,Ultra Premium,0.710413
hosp_7ef4a3fbedba9ee0,Happy 2TH - Pediatric Care Clinic,happy 2th pediatric care clinic,Kolkata,Hospital,Ballygunge,,22.52641,88.36029,873cf2c71ffffff,,7.0,3.0,True,,0.0,1200.0,5.0,1818.0,,+913340586594,https://www.practo.com/kolkata/hospital/happy-2th-pediatric-dental-clinic-ballygunge?referrer=hospital_listing,https://images1-fabric.practo.com/5534da146bca4444b8bd079172194d74211403f6fac04.jpg,VN,practo,,1.0,canonical,2,Q4,Q4-Sub-Q4,Ultra Premium,0.686355
hosp_83dc0267931b6b56,Manipal Hospitals (AMRI Hospitals),manipal hospitals amri hospitals,Kolkata,Hospital,Dhakuria,,22.512219971073108,88.36772561073303,873cf2c71ffffff,,57.0,26.0,True,1.0,0.0,3000.0,4.5,1386.0,,+913348052535,https://www.practo.com/kolkata/hospital/amri-dhakuria?referrer=hospital_listing,https://images1-fabric.practo.com/practices/1033173/amri-hospitals-kolkata-6661a08d5f894.png,RFA,practo,,1.0,canonical,3,Q4,Q4-Sub-Q4,Ultra Premium,0.668955
hosp_5f7e9fdbdab5da08,AMRI Hospital,amri hospital,Kolkata,Hospital,Mukundapur,,22.49392,88.4022,873cf2c42ffffff,,10.0,12.0,True,,0.0,1000.0,5.0,1081.0,,+913340586090,https://www.practo.com/kolkata/hospital/dr-abhijit-das?referrer=hospital_listing,https://images1-fabric.practo.com/amri-mukundapur-kolkata-1444549938-561a15327a4c4.png,VN,practo,,1.0,canonical,4,Q4,Q4-Sub-Q4,Ultra Premium,0.609453
hosp_9ed0af770407411b,Ghosh ENT Foundation,ghosh ent foundation,Kolkata,Hospital,Salt Lake,,22.582804916525,88.409771680417,873cf2c6cffffff,,1.0,2.0,True,,800.0,800.0,5.0,1129.0,,+913340586258,https://www.practo.com/kolkata/hospital/ghosh-e-n-t-foundation-salt-lake?referrer=hospital_listing,https://images1-fabric.practo.com/practices/649082/ghosh-e-n-t-foundation-kolkata-58e3790059fdd.jpg,VN,practo,,1.0,canonical,5,Q4,Q4-Sub-Q4,Ultra Premium,0.575472
hosp_748585203ec5e597,Mission Smile,mission smile,Kolkata,Hospital,Ballygunge,,22.52568,88.3646,873cf2c71ffffff,,2.0,1.0,True,,900.0,1200.0,5.0,953.0,,+913340586258,https://www.practo.com/kolkata/hospital/mission-smile-ballygunge-1?referrer=hospital_listing,https://images1-fabric.practo.com/54bb5248875d096d6f2e7e1f705ab5e59c84a6dc009b2.jpg,ABS,practo,,1.0,canonical,6,Q4,Q4-Sub-Q4,Ultra Premium,0.549104
hosp_3864a20c478cbbde,Manipal Hospitals (AMRI Hospitals),manipal hospitals amri hospitals,Kolkata,Hospital,Mukundapur,,22.493922544805,88.402197360992,873cf2c42ffffff,,82.0,34.0,True,1.0,800.0,2300.0,4.0,781.0,,+913348052530,https://www.practo.com/kolkata/hospital/amri-hospital-mukundapur-1?referrer=hospital_listing,https://images1-fabric.practo.com/practices/1250516/amri-hospitals-kolkata-6661a15e611bb.png,RFA,practo,,1.0,canonical,7,Q4,Q4-Sub-Q4,Ultra Premium,0.548063
hosp_925ceca631549a8f,Manipal Hospital Broadway (AMRI Hospitals),manipal hospital broadway amri hospitals,Kolkata,Hospital,Salt Lake,,22.572455,88.4128253,873cf2c6cffffff,,69.0,27.0,True,,800.0,2000.0,4.0,783.0,,+913340589093,https://www.practo.com/kolkata/hospital/amri-hospitals-salt-lake-3?referrer=hospital_listing,https://images1-fabric.practo.com/practices/735842/amri-hospitals-kolkata-6661a00999401.png,RFA,practo,,1.0,canonical,8,Q4,Q4-Sub-Q4,Ultra Premium,0.507827
hosp_332664c4820ee679,Apollo Gleneagles Hospitals,apollo gleneagles hospitals,Kolkata,Hospital,Salt Lake,,22.57485,88.40157,873cf2c61ffffff,,113.0,41.0,True,,0.0,2000.0,3.5,614.0,,+913340586258,https://www.practo.com/kolkata/hospital/apollo-gleneagles-hospitals-salt-lake-1?referrer=hospital_listing,https://images1-fabric.practo.com/apollo-gleanagles-kolkata-1474871987-57e8c2b315363.jpg,VN,practo,,1.0,canonical,9,Q4,Q4-Sub-Q4,Ultra Premium,0.49962
hosp_5c6e237d47f0511a,Medica Superspecialty Hospital,medica superspecialty hospital,Kolkata,Hospital,Mukundapur,,22.494356,88.400972,873cf2c42ffffff,,56.0,33.0,True,,0.0,450.0,5.0,36.0,,+913340587409,https://www.practo.com/kolkata/hospital/medica-super-speciality-hospital-mukundapur-2?referrer=hospital_listing,https://images1-fabric.practo.com/practices/1054119/medica-superspecialty-hospital-kolkata-67da502eeb5cf.png,VN,practo,,1.0,canonical,10,Q4,Q4-Sub-Q4,Ultra Premium,0.496072
hosp_22187191d4432469,Nova IVF Fertility Hospital  ,nova ivf fertility hospital,Kolkata,Hospital,Camac Street,,22.543749472136,88.353350308391,873cf2c75ffffff,,7.0,3.0,True,,0.0,1200.0,5.0,397.0,,+913340586089,https://www.practo.com/kolkata/hospital/papilio-clinic-kasba?referrer=hospital_listing,https://images1-fabric.practo.com/practices/1140941/nova-ivf-fertility-hospital-kolkata-5ea1cad854fd2.png,VN,practo,,1.0,canonical,11,Q4,Q4-Sub-Q4,Ultra Premium,0.474538
hosp_de50016614fc2d1a,Oliva Skin & Hair Clinic,oliva skin hair clinic,Kolkata,Hospital,Park Street,,22.549005,88.354686,873cf2c66ffffff,,7.0,4.0,True,2.0,500.0,500.0,5.0,271.0,,+918037324417,https://www.practo.com/kolkata/hospital/oliva-skin-hair-clinic-shakespeare-sarani?referrer=hospital_listing,https://images1-fabric.practo.com/practices/1263361/oliva-skin-hair-clinic-kolkata-6041bbc01b915.jpg,RFA,practo,,1.0,canonical,12,Q4,Q4-Sub-Q4,Ultra Premium,0.451244
hosp_18cbfab723d2a04d,RB Diagnostic,rb diagnostic,Kolkata,Hospital,Kankurgachi,,22.5802689,88.3896517,873cf2c61ffffff,,9.0,10.0,True,2.0,600.0,1200.0,5.0,173.0,,+913348052533,https://www.practo.com/kolkata/hospital/rb-diagnostic-pvt-ltd-kankurgachi?referrer=hospital_listing,https://images1-fabric.practo.com/practices/1106112/rb-diagnostic-pvt-ltd-kolkata-5a851c44b2e40.jpg,VN,practo,,1.0,canonical,13,Q4,Q4-Sub-Q4,Ultra Premium,0.443107
hosp_206bef9130db031a,Fortis Hospital Kolkata,fortis hospital kolkata,Kolkata,Hospital,Fortis Hospital Main Road,,22.52049440007568,88.40094476938248,873cf2c40ffffff,,69.0,35.0,True,,0.0,900.0,,2.0,,+913340586227,https://www.practo.com/kolkata/hospital/fortis-hospital-kolkata-fortis-hospital-main-road-1?referrer=hospital_listing,https://images1-fabric.practo.com/practices/1566921/fortis-hospital-kolkata-kolkata-67d008b53e6c3.png,VN,practo,,1.0,canonical,14,Q4,Q4-Sub-Q4,Ultra Premium,0.438677
hosp_25331472dcc3df68,North City Hospital,north city hospital,Kolkata,Hospital,Ultadanga,,22.58941713773,88.394047804177,873cf2892ffffff,,31.0,25.0,True,,0.0,2500.0,4.5,89.0,,+913340586092,https://www.practo.com/kolkata/hospital/north-city-hospital-ultadanga-2?referrer=hospital_listing,https://images1-fabric.practo.com/north-city-hospital-kolkata-1486972289-58a16581c57e1.jpg,VN,practo,,1.0,canonical,15,Q4,Q4-Sub-Q4,Ultra Premium,0.413909
hosp_e5cdf29a0ddff3a2,ILS Hospitals,ils hospitals,Kolkata,Hospital,Dumdum Road,,22.62163671410489,88.41597318649292,873cf2890ffffff,,27.0,16.0,True,1.0,0.0,1500.0,4.5,201.0,,+913340587458,https://www.practo.com/kolkata/hospital/ils-hospitals-dumdum-road?referrer=hospital_listing,https://images1-fabric.practo.com/ils-hospital-gastro-general-surgery-1458802251-56f38e4b7c6f0.png,VN,practo,,1.0,canonical,16,Q4,Q4-Sub-Q4,Ultra Premium,0.413649
