hospital_id,name,normalized_name,city,practice_type,locality,address,latitude,longitude,h3_res7,zone,doctors_count,speciality_count,multispeciality,other_centers_count,consultation_fee_min,consultation_fee_max,rating,reviews_count,year_established,phone,profile_url,image_url,status,source,scraped_at,data_completeness,dedupe_status,city_rank,quartile,q4_subquartile,segment,hospital_score
hosp_014e967fd8c77471,Jaslok Hospital,jaslok hospital,Mumbai,Hospital,Peddar Road,,18.9715449,72.8096551,87608b016ffffff,,129.0,46.0,True,,0.0,5000.0,4.5,1411.0,1970.0,+912048566752,https://www.practo.com/mumbai/hospital/jaslok-hospital-peddar-road?referrer=hospital_listing,https://images1-fabric.practo.com/jaslok-hospital-research-centre-mumbai-1467216362-5773f1ea0e5f8.png,VN,practo,,1.0,canonical,1,Q4,Q4-Sub-Q4,Ultra Premium,0.701212
hosp_82bb6f60cc8fe723,S.L. Raheja Hospital – A Fortis Associate,s l raheja hospital fortis associate,Mumbai,Hospital,Mahim,,19.046573,72.842209,87608b0b5ffffff,,134.0,53.0,True,1.0,1500.0,5500.0,4.5,722.0,1975.0,+917971261596,https://www.practo.com/mumbai/hospital/s-l-raheja-hospitals-mahim-1?referrer=hospital_listing,https://images1-fabric.practo.com/practices/692922/s-l-raheja-fortis-hospital-mumbai-5b9116e921537.png,RFA,practo,,1.0,canonical,2,Q4,Q4-Sub-Q4,Ultra Premium,0.670576
hosp_03fa90498bc4aac0,Krishna Eye Centre,krishna eye centre,Mumbai,Hospital,Parel,,18.99953,72.84001,87608b0a4ffffff,,9.0,2.0,True,,1600.0,1600.0,5.0,3705.0,,+919324910747,https://www.practo.com/mumbai/hospital/krishna-eye-centre-parel?referrer=hospital_listing,https://images1-fabric.practo.com/krishna-eye-centre-mumbai-1491303306-58e37b8a11b57.PNG,ABS,practo,,1.0,canonical,3,Q4,Q4-Sub-Q4,Ultra Premium,0.665804
hosp_cab77e4363a00483,Lifewave Hospital,lifewave hospital,Mumbai,Hospital,Malad,,19.185805174384,72.854666684399,87608b462ffffff,,6.0,8.0,True,,0.0,1200.0,5.0,2776.0,,+912048552165,https://www.practo.com/mumbai/hospital/lifewave-hospital-malad-east-1?referrer=hospital_listing,https://images1-fabric.practo.com/556477f7908ec45c5e3960a26f24a7e94c2b5f1af9878.png,VN,practo,,1.0,canonical,4,Q4,Q4-Sub-Q4,Ultra Premium,0.609297
hosp_e6b29259cde34111,Apollo Spectra Hospitals,apollo spectra hospitals,Mumbai,Hospital,Chembur,,19.0468607,72.9110026,87608b56dffffff,,76.0,28.0,True,2.0,0.0,3000.0,5.0,700.0,,+912071177422,https://www.practo.com/mumbai/hospital/apollo-spectra-hospital-4-sion?referrer=hospital_listing,https://images1-fabric.practo.com/practices/1053353/apollo-spectra-hospitals-mumbai-624e9a3263c73.jpg,VN,practo,,1.0,canonical,5,Q4,Q4-Sub-Q4,Ultra Premium,0.605157
hosp_cced2b08db22cd67,Saanvi Orthopaedics,saanvi orthopaedics,Mumbai,Hospital,Powai,,19.117909928039,72.908802256392,87608b54effffff,,2.0,2.0,True,,1200.0,2600.0,5.0,2862.0,,+912071173233,https://www.practo.com/mumbai/hospital/dr-lh-hiranandani-hospital-powai?referrer=hospital_listing,https://images1-fabric.practo.com/practices/754287/saanvi-orthopaedics-mumbai-5faaa3906d9e0.png,active,practo,,1.0,canonical,6,Q4,Q4-Sub-Q4,Ultra Premium,0.597839
hosp_51aadde10265adc3,Sahu Eye Hospital,sahu eye hospital,Mumbai,Hospital,Malad West,,19.195052309760648,72.83870369195938,87608b444ffffff,,1.0,1.0,True,,1000.0,1000.0,5.0,2841.0,,+912071177422,https://www.practo.com/mumbai/hospital/sahu-eye-hospital-malad-west?referrer=hospital_listing,https://images1-fabric.practo.com/5549b62aaab856044e1b77e91b4fe89b4880b3c5fad15.png,VN,practo,,1.0,canonical,7,Q4,Q4-Sub-Q4,Ultra Premium,0.593014
hosp_831cfede275dedfa,Godrej Memorial Hospital,godrej memorial hospital,Mumbai,Hospital,Vikhroli,,19.10377,72.92738,87608b545ffffff,,117.0,39.0,True,,0.0,5000.0,4.5,648.0,2004.0,+912071177326,https://www.practo.com/mumbai/hospital/godrej-memorial-hospital-vikhroli?referrer=hospital_listing,https://images1-fabric.practo.com/godrej-memorial-hospital-mumbai-1456500277-56d06e3566750.jpg,VN,practo,,1.0,canonical,8,Q4,Q4-Sub-Q4,Ultra Premium,0.589279
hosp_42e228b5c37b1160,Surya Hospitals,surya hospitals,Mumbai,Hospital,Santacruz West,,19.085520553419165,72.83763885498047,87608b0b3ffffff,,78.0,30.0,True,,0.0,3500.0,5.0,384.0,,+912071185421,https://www.practo.com/mumbai/hospital/surya-hospitals-santacruz-west?referrer=hospital_listing,https://images1-fabric.practo.com/practices/850214/surya-hospitals-mumbai-6332911e8e623.JPG,VN,practo,,1.0,canonical,9,Q4,Q4-Sub-Q4,Ultra Premium,0.58362
hosp_425a72f094fcd650,Dr. Poojary's Ent Hospital,dr poojary s ent hospital,Mumbai,Hospital,Chembur,,19.060733357402,72.898515080212,87608b569ffffff,,2.0,2.0,True,,700.0,700.0,5.0,2524.0,,+912071173181,https://www.practo.com/mumbai/hospital/dr-poojary-s-ent-clinic-chembur?referrer=hospital_listing,https://images1-fabric.practo.com/practices/705169/dr-poojary-s-ent-hospital-mumbai-59958ac671200.jpg,VN,practo,,1.0,canonical,10,Q4,Q4-Sub-Q4,Ultra Premium,0.574707
