hospital_id,name,normalized_name,city,practice_type,locality,address,latitude,longitude,h3_res7,zone,doctors_count,speciality_count,multispeciality,other_centers_count,consultation_fee_min,consultation_fee_max,rating,reviews_count,year_established,phone,profile_url,image_url,status,source,scraped_at,data_completeness,dedupe_status,city_rank,quartile,q4_subquartile,segment,hospital_score
hosp_66327293844e3649,Kelkar Nursing Home,kelkar nursing home,Pune,Hospital,Deccan Gymkhana,,18.514037,73.839061,87608850effffff,,4.0,2.0,True,,500.0,800.0,5.0,2656.0,1998.0,+912071173189,https://www.practo.com/pune/hospital/kelkar-nursing-home-deccan-gymkhana?referrer=hospital_listing,https://images1-fabric.practo.com/kelkar-nursing-home-pune-1480250495-583ad47fc4f1b.jpg,VN,practo,,1.0,canonical,1,Q4,Q4-Sub-Q4,Ultra Premium,0.685421
hosp_ec310b7ba95a302a,Jupiter Hospital,jupiter hospital,Pune,Hospital,Baner,,18.5656195,73.786047,876088420ffffff,,101.0,48.0,True,,500.0,3000.0,4.5,1008.0,,+911142246451,https://www.practo.com/pune/hospital/jupiter-hospital-baner-2?referrer=hospital_listing,https://images1-fabric.practo.com/practices/1163090/jupiter-hospital-pune-59fc5f773234c.jpeg,VN,practo,,1.0,canonical,2,Q4,Q4-Sub-Q4,Ultra Premium,0.681589
hosp_cd428a3d8aee5322,Health Point Polyclinic,health point polyclinic,Pune,Hospital,Kothrud,,18.50244,73.80962,876088509ffffff,,16.0,16.0,True,,0.0,2000.0,5.0,1588.0,,+917969141676,https://www.practo.com/pune/hospital/health-point-polyclinic-kothrud-1-3?referrer=hospital_listing,https://images1-fabric.practo.com/practices/900536/health-point-polyclinic-pune-59bfaf0428fcd.jpg,VN,practo,,1.0,canonical,3,Q4,Q4-Sub-Q4,Ultra Premium,0.612601
hosp_cf06fe0aa5f5e98e,Cloudnine Hospital - SB Road,cloudnine hospital sb road,Pune,Hospital,Senapati Bapat Marg,,18.530778536899476,73.82887529706089,87608850affffff,,21.0,7.0,True,3.0,0.0,1300.0,5.0,1502.0,2007.0,+912071173200,https://www.practo.com/pune/hospital/cloudnine-hospital-shivaji-nagar?referrer=hospital_listing,https://images1-fabric.practo.com/practices/887890/cloudnine-hospital-shivaji-nagar-pune-5bee8e18ab5fe.png,ABS,practo,,1.0,canonical,4,Q4,Q4-Sub-Q4,Ultra Premium,0.611226
hosp_e406bf249b06b804,Aditya Birla Memorial Hospital,aditya birla memorial hospital,Pune,Hospital,Pimpri-Chinchwad,,18.62572,73.77478,876088402ffffff,,34.0,23.0,False,,0.0,800.0,5.0,1322.0,,+912071177306,https://www.practo.com/pune/hospital/aditya-birla-memorial-hospital-chinchwad-1-3?referrer=hospital_listing,https://images1-fabric.practo.com/55a4d4af9faeedc28ed8bc8070137a81bb5ee9f6963a3.JPG,VN,practo,,1.0,canonical,5,Q4,Q4-Sub-Q4,Ultra Premium,0.586863
hosp_01e877079adb451b,Ruby Hall Clinic,ruby hall clinic,Pune,Hospital,Hinjewadi,,18.5926118,73.7314875,87608840cffffff,,73.0,47.0,True,,0.0,1100.0,4.5,553.0,,+912071177309,https://www.practo.com/pune/hospital/ruby-hall-clinic-hinjewadi-2?referrer=hospital_listing,https://images1-fabric.practo.com/practices/1117830/ruby-hall-clinic-pune-66daa33448b11.png,VN,practo,,1.0,canonical,6,Q4,Q4-Sub-Q4,Ultra Premium,0.579716
hosp_6683d17f35fced32,Umang Hospital,umang hospital,Pune,Hospital,Hadapsar,,18.510327403693,73.940986471806,876088530ffffff,,1.0,3.0,True,,700.0,700.0,5.0,1793.0,,+917941058656,https://www.practo.com/pune/hospital/care-women-s-health-clinic-hadapsar-city?referrer=hospital_listing,https://images1-fabric.practo.com/practices/895102/umang-hospital-pune-5daabb9bd8be4.png,ABS,practo,,1.0,canonical,7,Q4,Q4-Sub-Q4,Ultra Premium,0.575643
hosp_4c2da729a8850549,Asian Eye Hospital,asian eye hospital,Pune,Hospital,Dhole Patil Road,,18.53117,73.87566,876088502ffffff,,2.0,1.0,True,,500.0,500.0,5.0,1683.0,,+912071177437,https://www.practo.com/pune/hospital/asian-eye-hospital-dhole-patil-road?referrer=hospital_listing,https://images1-fabric.practo.com/asian-eye-hospital-pune-1461906367-5722ebbf1a9ca.jpg,VN,practo,,1.0,canonical,8,Q4,Q4-Sub-Q4,Ultra Premium,0.562833
hosp_43bb09310aab0864,Omkar Khalane Hospital,omkar khalane hospital,Pune,Hospital,Pimple Saudagar,,18.59754,73.78229,876088404ffffff,,5.0,7.0,True,,500.0,800.0,5.0,1455.0,,+918045688378,https://www.practo.com/pune/hospital/omkar-khalane-hospital-pimple-saudagar-1?referrer=hospital_listing,https://images1-fabric.practo.com/omkar-khalane-hospital-pune-1457016677-56d84f6575e9f.jpg,VN,practo,,1.0,canonical,9,Q4,Q4-Sub-Q4,Ultra Premium,0.559128
hosp_fb3601c71cfe7462,SkinEthics Skin Clinic & Dermatosurgery Center,skinethics skin clinic dermatosurgery center,Pune,Hospital,Baner,,18.555653737919,73.79460090247,876088420ffffff,,3.0,4.0,True,,600.0,800.0,5.0,1526.0,,+917971262944,https://www.practo.com/pune/hospital/skin-and-trichology-center-baner-road-1?referrer=hospital_listing,https://images1-fabric.practo.com/practices/698845/skinethics-skin-clinic-dermatosurgery-center-pune-5ffee6edf340d.png,VN,practo,,1.0,canonical,10,Q4,Q4-Sub-Q4,Ultra Premium,0.555835
