school_id,udise_code,school_name,city,state,district,area,address,pincode,board,english_medium,grade_range,latitude,longitude,coordinate_source,coordinate_quality,google_place_id,enrollment_total,enrollment_grade_2_9,enrollment_source,fee_tier,udise_review_status
1,06180100127,"PATHWAYS SCHOOL, BALOLA, BALIAWAS",Delhi NCR,HARYANA,GURUGRAM,,"Faridabad - Gurgaon Rd, Baliawas, Gurugram, Bandhwari, Haryana 122101, India",122101,International,1,Grades 1-12,28.4207939,77.1354238,Google_Places_resolved,verified_google_places,ChIJh7JZydohDTkRp8ixXV9Q95I,1566,1044.0,UDISE_reported_total,Super-Premium,source_udise
2,07080314404,"Vasant Valley School, Sector-C Vasant Kunj New Delhi",Delhi NCR,DELHI,SOUTH WEST A,,"Vasant Kunj Rd, Pocket 7, Sector C, Vasant Kunj, New Delhi, Delhi 110070, India",110070,CBSE,1,Grades 1-12,28.5334421,77.1442744,Google_Places_resolved,verified_google_places,ChIJ5d-fyi0cDTkRM0kmONzltdg,1269,846.0,UDISE_reported_total,Super-Premium,source_udise
3,07010304904,"MRG School, Pkt-B-5 Sector-3 Rohini, Delhi",Delhi NCR,DELHI,NORTH WEST B-II,,"B-5/293, Sector 3, Sector 3B, Rohini, Delhi, 110085, India",110085,CBSE,1,Grades 1-12,28.699273899999998,77.10965999999999,Google_Places_resolved,verified_google_places,ChIJ45C2DPwDDTkRAT2MDJvW1IQ,1101,734.0,UDISE_reported_total,Super-Premium,source_udise
4,07080317201,"The Heritage School, D-II Vasant Kunj New Delhi",Delhi NCR,DELHI,SOUTH WEST A,,"The Heritage School, D-2, Pocket 2, South West Delh, Vasant Kunj, New Delhi, Delhi 110070, India",110070,CBSE,1,Grades 1-12,28.508609,77.1665374,Google_Places_resolved,verified_google_places,ChIJVVVVVdQdDTkRnfPgH25MQTw,1019,679.0,UDISE_reported_total,Super-Premium,source_udise
5,06180104509,DPS INTERNATIONAL SOUTH CITY-II,Delhi NCR,HARYANA,GURUGRAM,,"Block W, JUNIOR WING, DPS International School HS, 01, Golf Course Ext Rd, South City II, Sector 50, Gurugram, Haryana 122018, India",122018,International,1,Grades 1-12,28.4090544,77.0636743,Google_Places_resolved,verified_google_places,ChIJ-ZFlCGQiDTkRMSEq9OKU-Gc,928,619.0,UDISE_reported_total,Super-Premium,source_udise
6,06180302802,PATHWAYS WORLD SCHOOL,Delhi NCR,HARYANA,GURUGRAM,,"Aravali Retreat, Off Gurgaon-Sohna, Road, Gurugram, Gangani, Haryana 122102, India",122102,International,1,Grades 1-12,28.312494700000002,77.0127839,Google_Places_resolved,verified_google_places,ChIJ1W7eYbMkDTkRCLMKPspnw_I,678,452.0,UDISE_reported_total,Super-Premium,source_udise
7,06180104507,"LANCERS INTERNATIONAL SCHOOL, CHAKARPUR",Delhi NCR,HARYANA,GURUGRAM,,"DLF Phase 5, DLF Phase 5, Sector 53, Gurugram, Haryana 122001, India",122001,International,1,Grades 1-12,28.4462597,77.0937215,Google_Places_resolved,verified_google_places,ChIJoWpCzrYYDTkR8RnVQ-5P_3M,564,376.0,UDISE_reported_total,Super-Premium,source_udise
8,06184100207,Sri Chaitanya Future Pathways School,Delhi NCR,HARYANA,GURUGRAM,,"Block F, Carterpuri Village, Sector 23A, Gurugram, Haryana 122017, India",122017,CBSE,1,Grades 1-12,28.3926284,77.0674453,Google_Places_resolved,verified_google_places,ChIJS7OswC8jDTkRKKhPMYI0xOM,361,241.0,UDISE_reported_total,Super-Premium,source_udise
9,09100209203,STONE HILL INTERNATIONAL SCHOOL,Delhi NCR,UTTAR PRADESH,GAUTAM BUDDHA NAGAR,,"GB Nagar, Ram Vatika Colony, Dadri, Uttar Pradesh 203207, India",203207,State Board,0,Grades 1-8,28.5431971,77.5413416,OK,unverified,ChIJoeCAokHrDDkRzbrOQlGOZz0,289,253.0,UDISE_reported_total,Super-Premium,source_udise
10,09094104074,NEEV-THE SCHOOL,Delhi NCR,UTTAR PRADESH,GHAZIABAD,,"Sikri Kalan, Modinagar, Sadabad Jakhaiva, Uttar Pradesh 201204, India",201204,CBSE,1,Grades 6-12,28.801794899999997,77.5409301,Google_Places_resolved,verified_google_places,ChIJN8B-hk71DDkRsAVABwxmmTg,168,134.0,UDISE_reported_total,Super-Premium,source_udise
11,,American Embassy school,delhi_ncr,,,Chanakyapuri,"Chandragupta Marg, Chanakyapuri, New Delhi, Delhi 110021",110021,IB,Y,Grades K-12,28.5993099,77.1823553,Yellowslate/Ezyschooling,verified_google_places,ChIJc6Q7xEIdDTkR_KRQeyF_Gcc,1118.0,800,estimated_from_premium_benchmark,Super-Premium,manually_confirmed_not_in_udise
12,,Amity Global School,delhi_ncr,,,Mandir Marg,Main Sector Road 4,110017,CBSE|Cambridge|IB Board,Y,Grades K-12,28.4366433,77.0644926,Yellowslate/Ezyschooling,verified_google_places,ChIJQ6Vjh4UYDTkRQK3d44PPXaw,1118.0,800,estimated_from_premium_benchmark,Super-Premium,manually_confirmed_not_in_udise
13,,Delhi Public School,delhi_ncr,,,Palam Vihar,"Block F, Sector 2, Palam Vihar, Gurugram, Haryana 122017, India",122017,CBSE/IB,Y,Grades K-12,28.5063169,77.0230504,Yellowslate/Ezyschooling,verified_google_places,EltibG9jayBmLCAyLCBPbGQgUmFqZW5kZXIgTmFnYXIsIE5paGFsaSBDb2xvbnksIFBhbGFtIFZpaGFyLCBHdXJ1Z3JhbSwgSGFyeWFuYSAxMjIwMTcsIEluZGlhIiMaIQoWChQKEgmnCJ658BkNORGrmcgl2pvLCRIHYmxvY2sgZg,1118.0,800,estimated_from_premium_benchmark,Super-Premium,pending_non_udise_review
14,,Delhi Public School,delhi_ncr,,,,"Sector 9, Vasundhara",201012,CBSE|IB Board,Y,Grades K-12,28.65779789999999,77.3706643,Yellowslate/Ezyschooling,verified_google_places,ChIJNxBLsqP6DDkR5onJBpyvNEg,1118.0,800,estimated_from_premium_benchmark,Super-Premium,pending_non_udise_review
15,,Ganga International School,delhi_ncr,,,,"Hiran Kudna, New Delhi",,CBSE,Y,Grades K-12,28.6752677,77.0019299,Yellowslate/Ezyschooling,verified_google_places,ChIJQ2jb9FwPDTkRlsmMUJYy2QM,1118.0,800,estimated_from_premium_benchmark,Super-Premium,manually_confirmed_not_in_udise
16,,Learners International School,delhi_ncr,,,Greater Noida,"Knowledge Park III, Greater Noida",201310,Cambridge|IB Board|IB/IGCSE|IGCSE,Y,Grades K-12,28.466753,77.48777199999999,Yellowslate/Ezyschooling,verified_google_places,ChIJy-eVMOvrDDkRui4ZpWMMhx0,1118.0,800,estimated_from_premium_benchmark,Super-Premium,manually_confirmed_not_in_udise
17,,Mother's Pride High School,delhi_ncr,,,Alipur,"Sector 40, Gurugram",122022,No Board|Other Boards,Y,Grades K-12,28.448131,77.0592504,Yellowslate/Ezyschooling,verified_google_places,ChIJieaiigwZDTkRg6fTD53lUWw,1118.0,800,estimated_from_premium_benchmark,Super-Premium,manually_confirmed_not_in_udise
18,,Prometheus School,delhi_ncr,,,,"Sector 131, Noida",,Cambridge|IB Board|IGCSE,Y,Grades K-12,28.5127038,77.3601964,Yellowslate/Ezyschooling,verified_google_places,ChIJ7yfE-L3nDDkRaj0YP9hClBU,1118.0,800,estimated_from_premium_benchmark,Super-Premium,manually_confirmed_not_in_udise
