project_id,city_id,name,locality,pincode,existing_source,query,osm_lat,osm_lon,osm_display_name,accepted,acceptance_reason,cache_status
project_d44efb5d13a3fad4,hyderabad,Pride,Madhapur,500081.0,validated_candidate_geocode,"Pride, Madhapur, 500081.0, Hyderabad, India",,,,False,no_osm_result,miss
project_b11b47ba4b9342e8,hyderabad,Udaya Sri Residency,Hitech City,500081.0,validated_candidate_geocode,"Udaya Sri Residency, Hitech City, 500081.0, Hyderabad, India",,,,False,no_osm_result,miss
project_41964052fa74f4cb,hyderabad,Babu Rao Mansion,Kondapur,500084.0,unmapped,"Babu Rao Mansion, Kondapur, 500084.0, Hyderabad, India",,,,False,no_osm_result,miss
project_aeb942ebb8666566,hyderabad,Abhiteja Classic,Kondapur,500084.0,validated_candidate_geocode,"Abhiteja Classic, Kondapur, 500084.0, Hyderabad, India",,,,False,no_osm_result,miss
project_762c63c879e51956,hyderabad,Silpa Singapore Township,IDA Uppal,500039.0,unmapped,"Silpa Singapore Township, IDA Uppal, 500039.0, Hyderabad, India",,,,False,no_osm_result,miss
project_55ca2a627dd95e19,hyderabad,Risinia Intelli Park,Bachupally,502325.0,validated_candidate_geocode,"Risinia Intelli Park, Bachupally, 502325.0, Hyderabad, India",,,,False,no_osm_result,miss
project_fd51fedc5bb0b7e4,hyderabad,Phoenix Port,Shamshabad,501218.0,unmapped,"Phoenix Port, Shamshabad, 501218.0, Hyderabad, India",,,,False,no_osm_result,miss
project_34e019b3c3f16030,hyderabad,Sai Nilay,"Kukatpally, NH 9",500072.0,unmapped,"Sai Nilay, Kukatpally, NH 9, 500072.0, Hyderabad, India",,,,False,no_osm_result,miss
project_a60b8065de372913,hyderabad,Avaniis Kollur Cyber County,"Kollur, Outer Ring Road",502300.0,unmapped,"Avaniis Kollur Cyber County, Kollur, Outer Ring Road, 502300.0, Hyderabad, India",,,,False,no_osm_result,miss
project_1201eafa5e190652,hyderabad,Prakruthi Residency,Kompally,500014.0,unmapped,"Prakruthi Residency, Kompally, 500014.0, Hyderabad, India",,,,False,no_osm_result,miss
project_939e64c148dfad5b,hyderabad,Gruhashilpis Saptapadi,"Kismatpur, Outer Ring Road",500030.0,unmapped,"Gruhashilpis Saptapadi, Kismatpur, Outer Ring Road, 500030.0, Hyderabad, India",,,,False,no_osm_result,miss
project_a10ecd33eaded531,hyderabad,Dharani Pharma Avenue,Kandukur,501359.0,unmapped,"Dharani Pharma Avenue, Kandukur, 501359.0, Hyderabad, India",,,,False,no_osm_result,miss
project_ceb233a616d2b6c2,hyderabad,Devi Golden Leaves Villas,Nagole,500068.0,validated_candidate_geocode,"Devi Golden Leaves Villas, Nagole, 500068.0, Hyderabad, India",,,,False,no_osm_result,miss
project_5410f8c76c7e126b,hyderabad,DRRs Happy Divine Nest,Nandigaon,502300.0,unmapped,"DRRs Happy Divine Nest, Nandigaon, 502300.0, Hyderabad, India",,,,False,no_osm_result,miss
project_5a62d7d72fe80235,hyderabad,VRR Duplex Houses,Nagaram,500083.0,unmapped,"VRR Duplex Houses, Nagaram, 500083.0, Hyderabad, India",,,,False,no_osm_result,miss
project_d6237f366c36bef4,hyderabad,Anandavalli Apartment,Malkajgiri,500047.0,validated_candidate_geocode,"Anandavalli Apartment, Malkajgiri, 500047.0, Hyderabad, India",,,,False,no_osm_result,miss
project_9730fd1f9063a23d,hyderabad,Sri Sakaram,"Vanasthalipuram, NH 9",500070.0,validated_candidate_geocode,"Sri Sakaram, Vanasthalipuram, NH 9, 500070.0, Hyderabad, India",,,,False,no_osm_result,miss
proj_cb34c11aa10b3a2b,bengaluru,Raja Prime Garden,"Palanahalli, Yelahanka",571606.0,unmapped,"Raja Prime Garden, Palanahalli, Yelahanka, 571606.0, Bengaluru, India",,,,False,no_osm_result,miss
proj_2ea0395c952f3d9a,bengaluru,aarya enclave,"Itpl, Whitefield",391410.0,unmapped,"aarya enclave, Itpl, Whitefield, 391410.0, Bengaluru, India",,,,False,no_osm_result,miss
proj_fcb0fbdb18a42b64,bengaluru,SB Infra Ananth Mansion,Malleshwaram,583201.0,unmapped,"SB Infra Ananth Mansion, Malleshwaram, 583201.0, Bengaluru, India",,,,False,no_osm_result,miss
proj_3f25e8763ec78ebd,bengaluru,Rishi Ferns Cottage,Koramangala,734008.0,unmapped,"Rishi Ferns Cottage, Koramangala, 734008.0, Bengaluru, India",,,,False,no_osm_result,miss
proj_daf5f02a92da9c2b,bengaluru,Marg Savithanjali,Old Madras Road,603110.0,unmapped,"Marg Savithanjali, Old Madras Road, 603110.0, Bengaluru, India",,,,False,no_osm_result,miss
proj_175de7cee5fab8fa,bengaluru,Arihant Frangipani,Old Madras Road,603103.0,unmapped,"Arihant Frangipani, Old Madras Road, 603103.0, Bengaluru, India",,,,False,no_osm_result,miss
proj_76dad660a16cffca,bengaluru,Arihant Heirloom,Old Madras Road,600130.0,unmapped,"Arihant Heirloom, Old Madras Road, 600130.0, Bengaluru, India",,,,False,no_osm_result,miss
proj_00b0c57beb8ea117,bengaluru,akshaya adair,Old Madras Road,603103.0,unmapped,"akshaya adair, Old Madras Road, 603103.0, Bengaluru, India",,,,False,no_osm_result,miss
proj_7ca94c7fc71a0593,bengaluru,Doshi Nakshatra I,Old Madras Road,600045.0,unmapped,"Doshi Nakshatra I, Old Madras Road, 600045.0, Bengaluru, India",,,,False,no_osm_result,miss
proj_42e9e29baa81a7a8,bengaluru,Jagannath Meadows 2,Old Madras Road,600130.0,unmapped,"Jagannath Meadows 2, Old Madras Road, 600130.0, Bengaluru, India",,,,False,no_osm_result,miss
proj_6ce8e43782e12756,bengaluru,K Raheja Park,Vijayanagar,400051.0,unmapped,"K Raheja Park, Vijayanagar, 400051.0, Bengaluru, India",,,,False,no_osm_result,miss
proj_50e85af9edf98056,bengaluru,Indico Coffee County Farms,Tumkur Road,411067.0,unmapped,"Indico Coffee County Farms, Tumkur Road, 411067.0, Bengaluru, India",,,,False,no_osm_result,miss
proj_752e203022568e72,bengaluru,Neelgund Eshan,Kalyan Nagar,580021.0,unmapped,"Neelgund Eshan, Kalyan Nagar, 580021.0, Bengaluru, India",,,,False,no_osm_result,miss
proj_d73e123036b06062,bengaluru,Fakruddins Limra Residency,Peenya,642104.0,unmapped,"Fakruddins Limra Residency, Peenya, 642104.0, Bengaluru, India",,,,False,no_osm_result,miss
proj_d00866fb3b85387f,bengaluru,AKS Residency,Electronic City,171011.0,unmapped,"AKS Residency, Electronic City, 171011.0, Bengaluru, India",,,,False,no_osm_result,miss
proj_e0ddd5dbd8f18664,bengaluru,Azmath E Hind,Arekere,193225.0,unmapped,"Azmath E Hind, Arekere, 193225.0, Bengaluru, India",,,,False,no_osm_result,miss
proj_73f0d9004c270113,bengaluru,Transpoorthi,Mysore Road,571130.0,unmapped,"Transpoorthi, Mysore Road, 571130.0, Bengaluru, India",,,,False,no_osm_result,miss
proj_016ebfbb1f1c1d97,bengaluru,Shrestha Residency,Nandi Hills,44400.0,unmapped,"Shrestha Residency, Nandi Hills, 44400.0, Bengaluru, India",,,,False,no_osm_result,miss
proj_c800f4bc738c7ca0,bengaluru,SKS Farms,Doddaballapura,572212.0,unmapped,"SKS Farms, Doddaballapura, 572212.0, Bengaluru, India",,,,False,no_osm_result,miss
proj_6b03f0df0216c3a8,bengaluru,Milestone Villas,Jigani,,unmapped,"Milestone Villas, Jigani, Bengaluru, India",,,,False,no_osm_result,miss
proj_e22416d1da2af152,bengaluru,MJ Areana,Jigani,,unmapped,"MJ Areana, Jigani, Bengaluru, India",,,,False,no_osm_result,miss
proj_8fa029d7cb1ef09e,bengaluru,VIP Cosmo Square,Jigani,641021.0,unmapped,"VIP Cosmo Square, Jigani, 641021.0, Bengaluru, India",,,,False,no_osm_result,miss
proj_68cf436da0b6879d,bengaluru,Manisha Enclave,"Kaggadasapura, Indira nagar",751021.0,unmapped,"Manisha Enclave, Kaggadasapura, Indira nagar, 751021.0, Bengaluru, India",,,,False,no_osm_result,miss
proj_549004b2a9fcd7f7,bengaluru,Shilpa Enclave,"Kaggadasapura, Indira nagar",800025.0,unmapped,"Shilpa Enclave, Kaggadasapura, Indira nagar, 800025.0, Bengaluru, India",,,,False,no_osm_result,miss
project_743cedc77c2bd1d6,mumbai,Supreme 19,Andheri West,400058.0,validated_candidate_geocode,"Supreme 19, Andheri West, 400058.0, Mumbai, India",,,,False,no_osm_result,miss
project_d5e23b24b95ea4e1,mumbai,Lodha Codename Seaview,Walkeshwar,400006.0,validated_candidate_geocode,"Lodha Codename Seaview, Walkeshwar, 400006.0, Mumbai, India",,,,False,no_osm_result,miss
project_65193dfbade73023,mumbai,Utility Mansion,Khar Danda,400047.0,unmapped,"Utility Mansion, Khar Danda, 400047.0, Mumbai, India",,,,False,no_osm_result,miss
project_545eeeb13f51d433,mumbai,Prestige Court,Khar West,400052.0,validated_candidate_geocode,"Prestige Court, Khar West, 400052.0, Mumbai, India",,,,False,no_osm_result,miss
project_6f67d19e920707e3,mumbai,Dream Park,Gandhi Bazar,400071.0,validated_candidate_geocode,"Dream Park, Gandhi Bazar, 400071.0, Mumbai, India",,,,False,no_osm_result,miss
project_cc01f0349df972d3,mumbai,Time Gold Residences,Vile Parle East,400057.0,unmapped,"Time Gold Residences, Vile Parle East, 400057.0, Mumbai, India",,,,False,no_osm_result,miss
